movie_id,release_date,title,filmaffinity_url,poster_url,duration_min,year,country_code,genres,synopsis_short,director,cast_top,rating_avg,rating_count,theaters_count,theaters_url,trailer_available,scraped_at
821495,2026-03-27,Te van a matar,https://www.filmaffinity.com/es/film821495.html,https://pics.filmaffinity.com/they_will_kill_you-681140728-large.jpg,94,2026,US,[],"Una mujer acepta un trabajo como ama de llaves en un rascacielos de Nueva York, sin conocer el historial de ... [+]","[{""name"": ""Kirill Sokolov"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=880113839""}]","[{""name"": ""Zazie Beetz"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=108081136""}, {""name"": ""Myha'la Herrold"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=564902503""}, {""name"": ""Paterson Joseph"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=766953864""}, {""name"": ""Tom Felton"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=714829239""}, {""name"": ""Heather Graham"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=506344133""}]",,,57,https://www.filmaffinity.com/es/cityTheaters.php?movie_id=821495,True,2026-03-20T09:53:39Z
319864,2026-03-27,Un altre home (Otro hombre),https://www.filmaffinity.com/es/film319864.html,https://pics.filmaffinity.com/un_altre_home_otro_hombre-234951375-large.jpg,100,2025,ES,[],"Marc y Eudald, una unión estable que aparentemente tiene una vida ordenada, se ven desestabilizados por la llegada ... [+]","[{""name"": ""David Moragas"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=775762034""}]","[{""name"": ""Quim Àvila Conde"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=231115573""}, {""name"": ""Lluís Marqués"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=527869579""}, {""name"": ""Bruna Cusí"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=607155113""}, {""name"": ""David Teixidó"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=574071863""}, {""name"": ""Ramon Pujol"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=715720406""}]",6.8,,,,True,2026-03-20T09:53:39Z
393543,2026-03-27,Yo te creo,https://www.filmaffinity.com/es/film393543.html,https://pics.filmaffinity.com/on_vous_croit-862570200-large.jpg,78,2025,BE,[],"Hoy, Alice se presenta ante el juez, sabiendo que no hay margen para el error. Debe hablar en nombre de sus hijos y ... [+]","[{""name"": ""Charlotte Devillers"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=852529835""}, {""name"": ""Arnaud Dufeys"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=589622417""}]","[{""name"": ""Myriem Akeddiou"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=177861674""}, {""name"": ""Laurent Capelluto"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=832418695""}, {""name"": ""Natali Broods"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=180404175""}, {""name"": ""Ulysse Goffin"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=370663150""}, {""name"": ""Adèle Pinckaers"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=543925510""}]",7.1,,,,True,2026-03-20T09:53:39Z
984135,2026-04-01,Calle Málaga,https://www.filmaffinity.com/es/film984135.html,https://pics.filmaffinity.com/calle_malaga-474473414-large.jpg,116,2025,MA,[],"María Ángeles (Carmen Maura) es una española de 79 años que vive sola en Tánger, en el norte de Marruecos, donde ... [+]","[{""name"": ""Maryam Touzani"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=478138827""}]","[{""name"": ""Carmen Maura"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=346269784""}, {""name"": ""Marta Etura"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=552758596""}, {""name"": ""Ahmed Boulane"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=547994811""}, {""name"": ""María Alfonsa Rosso"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=104846983""}, {""name"": ""Miguel Garcés"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=507709937""}]",6.1,,9,https://www.filmaffinity.com/es/cityTheaters.php?movie_id=984135,True,2026-03-20T09:53:39Z
562510,2026-04-01,La Grazia,https://www.filmaffinity.com/es/film562510.html,https://pics.filmaffinity.com/la_grazia-586837932-large.jpg,133,2025,IT,[],"Mariano De Santis, presidente (ficiticio) de la República italiana, es un veterano político demócrata, humanista y ... [+]","[{""name"": ""Paolo Sorrentino"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=282892762""}]","[{""name"": ""Toni Servillo"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=100699028""}, {""name"": ""Anna Ferzetti"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=529261376""}, {""name"": ""Orlando Cinque"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=924536528""}, {""name"": ""Massimo Venturiello"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=446429166""}, {""name"": ""Milvia Marigliano"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=778939698""}]",7.2,,2,https://www.filmaffinity.com/es/cityTheaters.php?movie_id=562510,True,2026-03-20T09:53:39Z
305953,2026-04-01,Lapönia,https://www.filmaffinity.com/es/film305953.html,https://pics.filmaffinity.com/laponia-100791809-large.jpg,89,2026,ES,[],"Después de varios años sin celebrar las fiestas juntas, Nuria (Ángela Cervantes), asentada en Laponia junto a su marido ... [+]","[{""name"": ""David Serrano"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=259357330""}]","[{""name"": ""Natalia Verbeke"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=571659699""}, {""name"": ""Julián López"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=912828419""}, {""name"": ""Àngela Cervantes"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=212361541""}, {""name"": ""Vebjørn Enger"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=130917196""}, {""name"": ""Blanca Ramírez"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=984778045""}, {""name"": ""Adrián Gamiz"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=451895783""}]",6.3,,1,https://www.filmaffinity.com/es/cityTheaters.php?movie_id=305953,True,2026-03-20T09:53:39Z
396681,2026-04-01,Noche de bodas 2,https://www.filmaffinity.com/es/film396681.html,https://pics.filmaffinity.com/ready_or_not_2_here_i_come-715095153-large.jpg,108,2026,US,[],"Momentos después de sobrevivir a un ataque de la familia Le Domas, Grace descubre que ha alcanzado el siguiente nivel ... [+]","[{""name"": ""Matt Bettinelli-Olpin"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=121937541""}, {""name"": ""Tyler Gillett"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=140455554""}]","[{""name"": ""Samara Weaving"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=498820033""}, {""name"": ""Kathryn Newton"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=938209411""}, {""name"": ""Sarah Michelle Gellar"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=439093409""}, {""name"": ""Shawn Hatosy"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=817674262""}, {""name"": ""David Cronenberg"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=446980915""}]",,,,,True,2026-03-20T09:53:39Z
833222,2026-04-01,Super Mario Galaxy: La película,https://www.filmaffinity.com/es/film833222.html,https://pics.filmaffinity.com/the_super_mario_galaxy_movie-214748845-large.jpg,98,2026,US,[],"Secuela de ""Super Mario Bros: La película"", basada en la saga ""Mario Galaxy"". Los hermanos Mario y Luigi y la princesa ... [+]","[{""name"": ""Aaron Horvath"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=920029448""}, {""name"": ""Michael Jelenic"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=895417787""}]","[{""name"": ""Chris Pratt"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=477214484""}, {""name"": ""Anya Taylor-Joy"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=613008671""}, {""name"": ""Charlie Day"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=893203969""}, {""name"": ""Jack Black"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=868369583""}]",,,96,https://www.filmaffinity.com/es/cityTheaters.php?movie_id=833222,True,2026-03-20T09:53:39Z
622499,2026-04-10,Atrapando a un monstruo,https://www.filmaffinity.com/es/film622499.html,https://pics.filmaffinity.com/dust_bunny-713640584-large.jpg,106,2025,US,[],Una niña de ocho años pide ayuda a su intrigante vecino para matar al monstruo que hay debajo de su cama y que cree que se comió a su familia. [+],"[{""name"": ""Bryan Fuller"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=803347797""}]","[{""name"": ""Mads Mikkelsen"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=759430243""}, {""name"": ""Sophie Sloan"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=902193462""}, {""name"": ""Sigourney Weaver"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=460421360""}, {""name"": ""David Dastmalchian"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=889159185""}, {""name"": ""Rebecca Henderson"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=768843128""}]",5.6,,,,True,2026-03-20T09:53:39Z
346885,2026-04-10,Boulevard,https://www.filmaffinity.com/es/film346885.html,https://pics.filmaffinity.com/boulevard-709366089-large.jpg,,2026,ES,[],"Cuando Hasley (Eve Ryan) se muda a una nueva ciudad con su madre, lo último que espera es cruzarse con Luke (Mikel ... [+]","[{""name"": ""Sonia Méndez"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=942569348""}]","[{""name"": ""Eve Ryan"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=767032035""}, {""name"": ""Mikel Niso"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=167636363""}, {""name"": ""Biel Antón"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=130982702""}, {""name"": ""Enzo Oliver"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=348057397""}, {""name"": ""Christian Checa"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=289403061""}]",,,,,True,2026-03-20T09:53:39Z
191501,2026-04-10,Kill Bill: The Whole Bloody Affair,https://www.filmaffinity.com/es/film191501.html,https://pics.filmaffinity.com/kill_bill_the_whole_bloody_affair-455135213-large.jpg,275,2025,US,[],"Versión íntegra de más de cuatro horas de ""Kill Bill"", tal y como fue concebida originalmente, con una secuencia animada inédita. (FILMAFFINITY) [+]","[{""name"": ""Quentin Tarantino"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=157018593""}]","[{""name"": ""Uma Thurman"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=341669269""}, {""name"": ""Lucy Liu"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=578989385""}, {""name"": ""Vivica A. Fox"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=854733728""}, {""name"": ""Michael Madsen"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=986795328""}, {""name"": ""Daryl Hannah"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=346175331""}]",8.7,,6,https://www.filmaffinity.com/es/cityTheaters.php?movie_id=191501,True,2026-03-20T09:53:39Z
154374,2026-04-10,La buena hija,https://www.filmaffinity.com/es/film154374.html,https://pics.filmaffinity.com/la_buena_hija-406815809-large.jpg,101,2025,ES,[],"Tras la separación de sus padres, Carmela (Kiara Arancibia) y su madre (Janet Novás) se mudan a casa de su abuela (Petra ... [+]","[{""name"": ""Júlia de Paz"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=233090794""}]","[{""name"": ""Kiara Arancibia"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=590222579""}, {""name"": ""Janet Novás"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=294153918""}, {""name"": ""Julián Villagrán"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=692995160""}, {""name"": ""Petra Martínez"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=977103810""}, {""name"": ""Anna Cerveró"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=362208411""}]",7.0,,,,True,2026-03-20T09:53:39Z
188826,2026-04-10,No te olvidaré,https://www.filmaffinity.com/es/film188826.html,https://pics.filmaffinity.com/reminders_of_him-219584202-large.jpg,114,2026,US,[],"Tras salir de la cárcel, Kenna intenta volver a conectar con su hija pequeña, pero se enfrenta a la resistencia de todo ... [+]","[{""name"": ""Vanessa Caswill"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=823520715""}]","[{""name"": ""Maika Monroe"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=399441710""}, {""name"": ""Tyriq Withers"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=532954588""}, {""name"": ""Bradley Whitford"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=542508226""}, {""name"": ""Lauren Graham"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=701394567""}, {""name"": ""Nicholas Duvernay"", ""url"": ""https://www.filmaffinity.com/es/name.php?name-id=394069230""}]",,,,,True,2026-03-20T09:53:39Z
