Pelicula,Director,Duración,Sala,Horario,Fecha,Cine,Film_URL,Poster_URL,Idioma_Original,Calificación,Estreno,Intérpretes,Sinopsis
HAMNET,Chloé Zhao,125,07,19:00,2026-02-16,Renoir Princesa,https://www.cinesrenoir.com/pelicula/hamnet/,https://www.cinesrenoir.com/media/Peliculas/Cartel/HAMNET_Cartel_Digital_8Nominaciones_Oscar_YaEnCines_v2_2.jpg,Inglés,No recomendada para menores de 12 años,Viernes 23 Enero 2026,"Jessie Buckley, Paul Mescal, Joe Alwyn, Emily Watson","Año 1596, Stratford-upon-Avon, Inglaterra. La vida de Agnes transcurre plácidamente junto a su marido y sus tres hijos. Ella cultiva plantas medicinales mientras William trabaja en Londres. El destino, sin embargo, les reservará un duro golpe cuando su hijo Hamnet, de once años, muera repentinamente tras contraer la peste. A raíz de esta tragedia, su padre creará uno de los grandes personajes de la literatura universal, de nombre casi idéntico al de su hijo.


Pero esta película no habla de famosos sucesos sino de algo íntimo y olvidado: La vida de esta familia, y especialmente la de la mujer que la sostenía y que tuvo que cargar con una insoportable pérdida."
HAMNET,Chloé Zhao,125,05,20:05,2026-02-16,Renoir Princesa,https://www.cinesrenoir.com/pelicula/hamnet/,https://www.cinesrenoir.com/media/Peliculas/Cartel/HAMNET_Cartel_Digital_8Nominaciones_Oscar_YaEnCines_v2_2.jpg,Inglés,No recomendada para menores de 12 años,Viernes 23 Enero 2026,"Jessie Buckley, Paul Mescal, Joe Alwyn, Emily Watson","Año 1596, Stratford-upon-Avon, Inglaterra. La vida de Agnes transcurre plácidamente junto a su marido y sus tres hijos. Ella cultiva plantas medicinales mientras William trabaja en Londres. El destino, sin embargo, les reservará un duro golpe cuando su hijo Hamnet, de once años, muera repentinamente tras contraer la peste. A raíz de esta tragedia, su padre creará uno de los grandes personajes de la literatura universal, de nombre casi idéntico al de su hijo.


Pero esta película no habla de famosos sucesos sino de algo íntimo y olvidado: La vida de esta familia, y especialmente la de la mujer que la sostenía y que tuvo que cargar con una insoportable pérdida."
HAMNET,Chloé Zhao,125,05,22:25,2026-02-16,Renoir Princesa,https://www.cinesrenoir.com/pelicula/hamnet/,https://www.cinesrenoir.com/media/Peliculas/Cartel/HAMNET_Cartel_Digital_8Nominaciones_Oscar_YaEnCines_v2_2.jpg,Inglés,No recomendada para menores de 12 años,Viernes 23 Enero 2026,"Jessie Buckley, Paul Mescal, Joe Alwyn, Emily Watson","Año 1596, Stratford-upon-Avon, Inglaterra. La vida de Agnes transcurre plácidamente junto a su marido y sus tres hijos. Ella cultiva plantas medicinales mientras William trabaja en Londres. El destino, sin embargo, les reservará un duro golpe cuando su hijo Hamnet, de once años, muera repentinamente tras contraer la peste. A raíz de esta tragedia, su padre creará uno de los grandes personajes de la literatura universal, de nombre casi idéntico al de su hijo.


Pero esta película no habla de famosos sucesos sino de algo íntimo y olvidado: La vida de esta familia, y especialmente la de la mujer que la sostenía y que tuvo que cargar con una insoportable pérdida."
LA CENA,Manolo Gómez Pereira,106,08,16:00,2026-02-16,Renoir Princesa,https://www.cinesrenoir.com/pelicula/la-cena/,https://media.pillalas.com/imagenes/726afb526abffa83bd9f9bd0a673888f9a4e8309cfbd282ee88c3ecfb89c16c49bdbf298.jpg,Castellano,No recomendada para menores de 12 años,Viernes 17 Octubre 2025,"Mario Casas, Alberto San Juan, Asier Etxeandia, Nora Hernández, Óscar Lasarte, Martín Páez, Elvira Mínguez, Carlos Serrano, Carmen Balagué, Eva Ugarte, Antonio Resines","15 de abril, 1939. Dos semanas después de acabar la Guerra Civil, Franco propone celebrar la victoria con una cena en el Hotel Palace junto a todos sus generales. Lo que no saben es que la cena la prepararán unos cocineros republicanos que están ante su última oportunidad de huir del país."
LA CENA,Manolo Gómez Pereira,106,03,18:00,2026-02-16,Renoir Princesa,https://www.cinesrenoir.com/pelicula/la-cena/,https://media.pillalas.com/imagenes/726afb526abffa83bd9f9bd0a673888f9a4e8309cfbd282ee88c3ecfb89c16c49bdbf298.jpg,Castellano,No recomendada para menores de 12 años,Viernes 17 Octubre 2025,"Mario Casas, Alberto San Juan, Asier Etxeandia, Nora Hernández, Óscar Lasarte, Martín Páez, Elvira Mínguez, Carlos Serrano, Carmen Balagué, Eva Ugarte, Antonio Resines","15 de abril, 1939. Dos semanas después de acabar la Guerra Civil, Franco propone celebrar la victoria con una cena en el Hotel Palace junto a todos sus generales. Lo que no saben es que la cena la prepararán unos cocineros republicanos que están ante su última oportunidad de huir del país."
LA FIERA,Salvador Calvo,113,08,18:05,2026-02-16,Renoir Princesa,https://www.cinesrenoir.com/pelicula/la-fiera/,https://media.pillalas.com/imagenes/726afb526abffa8343633e6b05b980b9f611ecb2408114b64c8947a46b46933a151a5185.jpg,Castellano,No recomendada para menores de 12 años,Viernes 6 Febrero 2026,"Carlos Cuevas, Miguel Bernardeau, Miguel Ángel Silvestre, Candela González, Stéphanie Magnin, David Marcé, José Manuel Poga","Carlos, Darío y Armando, aficionados a los deportes extremos, descubren la experiencia más cercana a volar: el salto B.A.S.E. con traje de alas. “La Fiera” es la historia de estos amantes del riesgo: un relato real contado desde sus miedos y anhelos; un viaje duro y fascinante, lleno de vértigo y peligro... que también nos conecta con la camaradería y la amistad.
Un viaje épico alimentado por la lucha contra uno mismo."
LA FIERA,Salvador Calvo,113,08,22:15,2026-02-16,Renoir Princesa,https://www.cinesrenoir.com/pelicula/la-fiera/,https://media.pillalas.com/imagenes/726afb526abffa8343633e6b05b980b9f611ecb2408114b64c8947a46b46933a151a5185.jpg,Castellano,No recomendada para menores de 12 años,Viernes 6 Febrero 2026,"Carlos Cuevas, Miguel Bernardeau, Miguel Ángel Silvestre, Candela González, Stéphanie Magnin, David Marcé, José Manuel Poga","Carlos, Darío y Armando, aficionados a los deportes extremos, descubren la experiencia más cercana a volar: el salto B.A.S.E. con traje de alas. “La Fiera” es la historia de estos amantes del riesgo: un relato real contado desde sus miedos y anhelos; un viaje duro y fascinante, lleno de vértigo y peligro... que también nos conecta con la camaradería y la amistad.
Un viaje épico alimentado por la lucha contra uno mismo."
LOS DOMINGOS,Alauda Ruiz De Azúa,115,01,16:00,2026-02-16,Renoir Princesa,https://www.cinesrenoir.com/pelicula/los-domingos/,https://media.pillalas.com/imagenes/726afb526abffa83eb13c84b6e843cdf406388aa12cc57b934b6e5ab1c8e2d84ce9ad1f4.jpg,Castellano,No recomendada para menores de 12 años,Viernes 24 Octubre 2025,"Patricia López Arnaiz, Blanca Soroa, Miguel Garcés, Juan Minujín, Mabel Rivera, Nagore Aramburu","'Los domingos' cuenta la historia de Ainara (Soroa), una joven idealista y brillante de 17 años que ha de decidir qué carrera universitaria estudiará. O, al menos, eso espera su familia que haga. Sin embargo, la joven manifiesta que se siente cada vez más cerca de Dios y que se plantea abrazar la vida de monja de clausura. La noticia pilla por sorpresa a toda la familia provocando un abismo y una prueba de fuego para todos."
LOS DOMINGOS,Alauda Ruiz De Azúa,115,01,18:15,2026-02-16,Renoir Princesa,https://www.cinesrenoir.com/pelicula/los-domingos/,https://media.pillalas.com/imagenes/726afb526abffa83eb13c84b6e843cdf406388aa12cc57b934b6e5ab1c8e2d84ce9ad1f4.jpg,Castellano,No recomendada para menores de 12 años,Viernes 24 Octubre 2025,"Patricia López Arnaiz, Blanca Soroa, Miguel Garcés, Juan Minujín, Mabel Rivera, Nagore Aramburu","'Los domingos' cuenta la historia de Ainara (Soroa), una joven idealista y brillante de 17 años que ha de decidir qué carrera universitaria estudiará. O, al menos, eso espera su familia que haga. Sin embargo, la joven manifiesta que se siente cada vez más cerca de Dios y que se plantea abrazar la vida de monja de clausura. La noticia pilla por sorpresa a toda la familia provocando un abismo y una prueba de fuego para todos."
LOS DOMINGOS,Alauda Ruiz De Azúa,115,01,20:30,2026-02-16,Renoir Princesa,https://www.cinesrenoir.com/pelicula/los-domingos/,https://media.pillalas.com/imagenes/726afb526abffa83eb13c84b6e843cdf406388aa12cc57b934b6e5ab1c8e2d84ce9ad1f4.jpg,Castellano,No recomendada para menores de 12 años,Viernes 24 Octubre 2025,"Patricia López Arnaiz, Blanca Soroa, Miguel Garcés, Juan Minujín, Mabel Rivera, Nagore Aramburu","'Los domingos' cuenta la historia de Ainara (Soroa), una joven idealista y brillante de 17 años que ha de decidir qué carrera universitaria estudiará. O, al menos, eso espera su familia que haga. Sin embargo, la joven manifiesta que se siente cada vez más cerca de Dios y que se plantea abrazar la vida de monja de clausura. La noticia pilla por sorpresa a toda la familia provocando un abismo y una prueba de fuego para todos."
