Pelicula,Director,Duración,Sala,Horario,Fecha,Cine
28 AÑOS DESPUÉS EL TEMPLO DE LOS HUESOS,Nia Dacosta,109,11,16:00,2026-01-22,Renoir Princesa
28 AÑOS DESPUÉS EL TEMPLO DE LOS HUESOS,Nia Dacosta,109,10,18:30,2026-01-22,Renoir Princesa
28 AÑOS DESPUÉS EL TEMPLO DE LOS HUESOS,Nia Dacosta,109,10,20:35,2026-01-22,Renoir Princesa
28 AÑOS DESPUÉS EL TEMPLO DE LOS HUESOS,Nia Dacosta,109,10,22:40,2026-01-22,Renoir Princesa
BUGONIA,Yorgos Lanthimos,118,02,20:20,2026-01-22,Renoir Princesa
EL SENDERO DE LA SAL,Marianne Elliott,115,02,16:00,2026-01-22,Renoir Princesa
EL SENDERO DE LA SAL,Marianne Elliott,115,02,18:10,2026-01-22,Renoir Princesa
EL SENDERO DE LA SAL,Marianne Elliott,115,02,22:35,2026-01-22,Renoir Princesa
HOMO ARGENTUM,"Gaston Duprat, Mariano Cohn",99,05,16:00,2026-01-22,Renoir Princesa
HOMO ARGENTUM,"Gaston Duprat, Mariano Cohn",99,11,18:10,2026-01-22,Renoir Princesa
HOMO ARGENTUM,"Gaston Duprat, Mariano Cohn",99,11,20:10,2026-01-22,Renoir Princesa
LA ASISTENTA,Paul Feig,131,04,16:10,2026-01-22,Renoir Princesa
LA ASISTENTA,Paul Feig,131,04,19:10,2026-01-22,Renoir Princesa
LA ASISTENTA,Paul Feig,131,07,22:20,2026-01-22,Renoir Princesa
LA CENA,Manolo Gómez Pereira,106,08,18:25,2026-01-22,Renoir Princesa
LA CRONOLOGÍA DEL AGUA,Kristen Stewart,128,08,16:00,2026-01-22,Renoir Princesa
LA CRONOLOGÍA DEL AGUA,Kristen Stewart,128,08,22:35,2026-01-22,Renoir Princesa
LOS DOMINGOS,Alauda Ruiz De Azúa,115,06,16:00,2026-01-22,Renoir Princesa
LOS DOMINGOS,Alauda Ruiz De Azúa,115,06,18:15,2026-01-22,Renoir Princesa
LOS DOMINGOS,Alauda Ruiz De Azúa,115,06,20:30,2026-01-22,Renoir Princesa
MARTY SUPREME [WILDER CINEMA],Josh Safdie,149,09,20:00,2026-01-22,Renoir Princesa
MASPALOMAS,"Jose Mari Goenaga, Aitor Arregi",115,05,22:40,2026-01-22,Renoir Princesa
NÚREMBERG,James Vanderbilt,148,03,16:00,2026-01-22,Renoir Princesa
NÚREMBERG,James Vanderbilt,148,04,21:50,2026-01-22,Renoir Princesa
RENTAL FAMILY (FAMILIA DE ALQUILER),Mitsuyo Miyazaki,109,09,16:00,2026-01-22,Renoir Princesa
RENTAL FAMILY (FAMILIA DE ALQUILER),Mitsuyo Miyazaki,109,05,18:00,2026-01-22,Renoir Princesa
ROMERÍA,Carla Simón,115,06,22:40,2026-01-22,Renoir Princesa
RONDALLAS,Daniel Sánchez Arévalo,112,01,16:00,2026-01-22,Renoir Princesa
RONDALLAS,Daniel Sánchez Arévalo,112,01,18:10,2026-01-22,Renoir Princesa
RONDALLAS,Daniel Sánchez Arévalo,112,01,20:20,2026-01-22,Renoir Princesa
"SI PUDIERA, TE DARÍA UNA PATADA",Mary Bronstein,113,07,18:00,2026-01-22,Renoir Princesa
"SI PUDIERA, TE DARÍA UNA PATADA",Mary Bronstein,113,07,20:10,2026-01-22,Renoir Princesa
"SI PUDIERA, TE DARÍA UNA PATADA",Mary Bronstein,113,03,22:45,2026-01-22,Renoir Princesa
SIRAT,Óliver Laxe,120,08,20:25,2026-01-22,Renoir Princesa
SONG SUNG BLUE – CANCIÓN PARA DOS,Craig Brewer,132,01,22:30,2026-01-22,Renoir Princesa
SORDA,Eva Libertad,100,07,16:00,2026-01-22,Renoir Princesa
VALOR SENTIMENTAL,Joachim Trier,133,10,16:00,2026-01-22,Renoir Princesa
VALOR SENTIMENTAL,Joachim Trier,133,05,20:10,2026-01-22,Renoir Princesa
VALOR SENTIMENTAL,Joachim Trier,133,11,22:10,2026-01-22,Renoir Princesa
VIDA PRIVADA,Rebecca Zlotowski,103,03,18:45,2026-01-22,Renoir Princesa
VIDA PRIVADA,Rebecca Zlotowski,103,03,20:45,2026-01-22,Renoir Princesa
28 AÑOS DESPUÉS EL TEMPLO DE LOS HUESOS,Nia Dacosta,109,04,16:00,2026-01-23,Renoir Princesa
