Pelicula,Director,Duración,Sala,Horario,Fecha,Cine
ANORA,Sean Baker,139,03,20:20,2025-01-08,Renoir Princesa
BETTER MAN,Michael Gracey,135,06,16:00,2025-01-08,Renoir Princesa
BETTER MAN,Michael Gracey,135,06,19:00,2025-01-08,Renoir Princesa
BETTER MAN,Michael Gracey,135,06,21:35,2025-01-08,Renoir Princesa
BIRD,Andrea Arnold,118,01,16:15,2025-01-08,Renoir Princesa
CÓNCLAVE,Edward Berger,120,09,16:00,2025-01-08,Renoir Princesa
CÓNCLAVE,Edward Berger,120,09,18:15,2025-01-08,Renoir Princesa
CÓNCLAVE,Edward Berger,120,09,20:30,2025-01-08,Renoir Princesa
CÓNCLAVE,Edward Berger,120,11,22:15,2025-01-08,Renoir Princesa
EMILIA PÉREZ,Jacques Audiard,132,02,18:00,2025-01-08,Renoir Princesa
EMILIA PÉREZ,Jacques Audiard,132,02,20:35,2025-01-08,Renoir Princesa
EMILIA PÉREZ,Jacques Audiard,132,08,22:10,2025-01-08,Renoir Princesa
HEREJE,"Scott Beck, Bryan Woods",110,11,16:00,2025-01-08,Renoir Princesa
HEREJE,"Scott Beck, Bryan Woods",110,11,18:05,2025-01-08,Renoir Princesa
HEREJE,"Scott Beck, Bryan Woods",110,11,20:10,2025-01-08,Renoir Princesa
HEREJE,"Scott Beck, Bryan Woods",110,09,22:45,2025-01-08,Renoir Princesa
JURADO Nº 2,Clint Eastwood,117,03,16:00,2025-01-08,Renoir Princesa
JURADO Nº 2,Clint Eastwood,117,03,18:15,2025-01-08,Renoir Princesa
LA HABITACIÓN DE AL LADO (THE ROOM NEXT DOOR),Pedro Almodóvar,106,08,20:00,2025-01-08,Renoir Princesa
LA SUSTANCIA,Coralie Fargeat,141,01,21:35,2025-01-08,Renoir Princesa
NOSFERATU,Robert Eggers,132,04,16:00,2025-01-08,Renoir Princesa
NOSFERATU,Robert Eggers,132,05,18:05,2025-01-08,Renoir Princesa
NOSFERATU,Robert Eggers,132,07,19:00,2025-01-08,Renoir Princesa
NOSFERATU,Robert Eggers,132,05,20:35,2025-01-08,Renoir Princesa
NOSFERATU,Robert Eggers,132,07,21:40,2025-01-08,Renoir Princesa
"OH, CANADA",Paul Schrader,94,08,16:00,2025-01-08,Renoir Princesa
QUEER,Luca Guadagnino,137,10,16:00,2025-01-08,Renoir Princesa
QUEER,Luca Guadagnino,137,10,19:00,2025-01-08,Renoir Princesa
QUEER,Luca Guadagnino,137,10,21:40,2025-01-08,Renoir Princesa
VIVIR EL MOMENTO,John Crowley,107,05,16:00,2025-01-08,Renoir Princesa
VIVIR EL MOMENTO,John Crowley,107,04,18:30,2025-01-08,Renoir Princesa
VIVIR EL MOMENTO,John Crowley,107,04,20:35,2025-01-08,Renoir Princesa
VIVIR EL MOMENTO,John Crowley,107,04,22:40,2025-01-08,Renoir Princesa
WICKED,Jon M. Chu,160,07,16:00,2025-01-08,Renoir Princesa
WICKED,Jon M. Chu,160,01,18:35,2025-01-08,Renoir Princesa
¿ES EL ENEMIGO?,Alexis Morante,99,02,16:00,2025-01-08,Renoir Princesa
