Pelicula,Director,Duración,Sala,Horario,Fecha,Cine
ADORABLE,Lilja Ingolfsdottir,104,07,16:00,2025-10-05,Renoir Princesa
ADORABLE,Lilja Ingolfsdottir,104,07,18:05,2025-10-05,Renoir Princesa
ADORABLE,Lilja Ingolfsdottir,104,07,20:10,2025-10-05,Renoir Princesa
ADORABLE,Lilja Ingolfsdottir,104,07,22:15,2025-10-05,Renoir Princesa
EDDINGTON,Ari Aster,148,08,16:00,2025-10-05,Renoir Princesa
EDDINGTON,Ari Aster,148,08,18:50,2025-10-05,Renoir Princesa
EL CAUTIVO,Alejandro Amenábar,133,01,16:00,2025-10-05,Renoir Princesa
EL CAUTIVO,Alejandro Amenábar,133,04,17:55,2025-10-05,Renoir Princesa
EL CAUTIVO,Alejandro Amenábar,133,04,20:20,2025-10-05,Renoir Princesa
EL CAUTIVO,Alejandro Amenábar,133,01,22:20,2025-10-05,Renoir Princesa
LA DIVINA SARAH BERNHARDT,Guillaume Nicloux,98,05,18:15,2025-10-05,Renoir Princesa
LA SOSPECHA DE SOFÍA,Imanol Uribe,100,04,16:00,2025-10-05,Renoir Princesa
LA SOSPECHA DE SOFÍA,Imanol Uribe,100,01,18:30,2025-10-05,Renoir Princesa
LA SOSPECHA DE SOFÍA,Imanol Uribe,100,01,20:25,2025-10-05,Renoir Princesa
PARECIDO A UN ASESINATO,Antonio Hernández,111,03,16:00,2025-10-05,Renoir Princesa
PARECIDO A UN ASESINATO,Antonio Hernández,111,03,18:05,2025-10-05,Renoir Princesa
PARECIDO A UN ASESINATO,Antonio Hernández,111,03,20:10,2025-10-05,Renoir Princesa
PARECIDO A UN ASESINATO,Antonio Hernández,111,03,22:15,2025-10-05,Renoir Princesa
ROMERÍA,Carla Simón,115,10,16:00,2025-10-05,Renoir Princesa
ROMERÍA,Carla Simón,115,10,18:05,2025-10-05,Renoir Princesa
ROMERÍA,Carla Simón,115,10,20:10,2025-10-05,Renoir Princesa
ROMERÍA,Carla Simón,115,04,22:45,2025-10-05,Renoir Princesa
SIRAT,Óliver Laxe,120,06,16:00,2025-10-05,Renoir Princesa
SIRAT,Óliver Laxe,120,06,18:10,2025-10-05,Renoir Princesa
SIRAT,Óliver Laxe,120,06,20:20,2025-10-05,Renoir Princesa
SIRAT,Óliver Laxe,120,06,22:30,2025-10-05,Renoir Princesa
SMALL THINGS LIKE THESE,Tim Mielants,98,11,16:00,2025-10-05,Renoir Princesa
SMALL THINGS LIKE THESE,Tim Mielants,98,11,18:00,2025-10-05,Renoir Princesa
THE SMASHING MACHINE,Ben Safdie,98,05,16:00,2025-10-05,Renoir Princesa
THE SMASHING MACHINE,Ben Safdie,98,05,20:10,2025-10-05,Renoir Princesa
THE SMASHING MACHINE,Ben Safdie,98,05,22:30,2025-10-05,Renoir Princesa
UNA BATALLA TRAS OTRA,Paul Thomas Anderson,161,09,16:00,2025-10-05,Renoir Princesa
UNA BATALLA TRAS OTRA,Paul Thomas Anderson,161,09,19:00,2025-10-05,Renoir Princesa
UNA BATALLA TRAS OTRA,Paul Thomas Anderson,161,11,20:00,2025-10-05,Renoir Princesa
UNA BATALLA TRAS OTRA,Paul Thomas Anderson,161,09,22:00,2025-10-05,Renoir Princesa
WEAPONS,Zach Cregger,128,08,21:40,2025-10-05,Renoir Princesa
YA NO QUEDAN JUNGLAS,Luis Gabriel Beristáin,89,10,22:20,2025-10-05,Renoir Princesa
ADORABLE,Lilja Ingolfsdottir,104,07,16:00,2025-10-06,Renoir Princesa
ADORABLE,Lilja Ingolfsdottir,104,07,18:05,2025-10-06,Renoir Princesa
ADORABLE,Lilja Ingolfsdottir,104,07,20:10,2025-10-06,Renoir Princesa
ADORABLE,Lilja Ingolfsdottir,104,07,22:15,2025-10-06,Renoir Princesa
EDDINGTON,Ari Aster,148,08,16:00,2025-10-06,Renoir Princesa
EDDINGTON,Ari Aster,148,08,18:50,2025-10-06,Renoir Princesa
EL CAUTIVO,Alejandro Amenábar,133,01,16:00,2025-10-06,Renoir Princesa
EL CAUTIVO,Alejandro Amenábar,133,04,17:55,2025-10-06,Renoir Princesa
EL CAUTIVO,Alejandro Amenábar,133,04,20:20,2025-10-06,Renoir Princesa
EL CAUTIVO,Alejandro Amenábar,133,01,22:20,2025-10-06,Renoir Princesa
LA DIVINA SARAH BERNHARDT,Guillaume Nicloux,98,05,18:15,2025-10-06,Renoir Princesa
LA SOSPECHA DE SOFÍA,Imanol Uribe,100,04,16:00,2025-10-06,Renoir Princesa
LA SOSPECHA DE SOFÍA,Imanol Uribe,100,01,18:30,2025-10-06,Renoir Princesa
LA SOSPECHA DE SOFÍA,Imanol Uribe,100,01,20:25,2025-10-06,Renoir Princesa
PARECIDO A UN ASESINATO,Antonio Hernández,111,03,16:00,2025-10-06,Renoir Princesa
PARECIDO A UN ASESINATO,Antonio Hernández,111,03,18:05,2025-10-06,Renoir Princesa
PARECIDO A UN ASESINATO,Antonio Hernández,111,03,20:10,2025-10-06,Renoir Princesa
PARECIDO A UN ASESINATO,Antonio Hernández,111,03,22:15,2025-10-06,Renoir Princesa
ROMERÍA,Carla Simón,115,10,16:00,2025-10-06,Renoir Princesa
ROMERÍA,Carla Simón,115,10,18:05,2025-10-06,Renoir Princesa
ROMERÍA,Carla Simón,115,10,20:10,2025-10-06,Renoir Princesa
ROMERÍA,Carla Simón,115,04,22:45,2025-10-06,Renoir Princesa
SIRAT,Óliver Laxe,120,06,16:00,2025-10-06,Renoir Princesa
SIRAT,Óliver Laxe,120,06,18:10,2025-10-06,Renoir Princesa
