Pelicula,Director,Duración,Sala,Horario,Fecha,Cine,Tickets_URL,Film_URL,Poster_URL,Idioma_Original,Calificación,Estreno,Intérpretes,Sinopsis
EL ARQUITECTO,Stéphane Demoustier,107,08,18:15,2026-03-20,Renoir Princesa,https://www.pillalas.com/pase/1060289/,https://www.cinesrenoir.com/pelicula/el-arquitecto/,https://media.pillalas.com/imagenes/726afb526abffa83aa265685f6781eacb3d2a1ce9f7ae8b5cb373d34a8a32da17572eb8a.jpg,Francés Y Danés,No recomendada para menores de 12 años,Viernes 13 Marzo 2026,"Claes Bang, Sidse Babett Knudsen, Swann Arlaud, Michel Fau, Xavier Dolan","1983. El nuevo gobierno francés convoca el mayor concurso de arquitectura. Codiciado por los grandes estudios, el ganador es, sorprendentemente, un absoluto desconocido: Johan Otto von Spreckelsen, un profesor de arquitectura danés que hasta entonces sólo había construido su casa y tres pequeñas capillas."
EL MAGO DEL KREMLIN,Olivier Assayas,145,10,16:10,2026-03-20,Renoir Princesa,https://www.pillalas.com/pase/1060285/,https://www.cinesrenoir.com/pelicula/el-mago-del-kremlin/,https://media.pillalas.com/imagenes/726afb526abffa833889e44ac42f5cc54d6019702d8546ebf4550316f78770131f777f2b.jpg,Inglés,No recomendada para menores de 12 años,Viernes 6 Marzo 2026,"Paul Dano, Alicia Vikander, Jude Law, Tom Sturridge, Jeffrey Wright, Will Keen","En medio del caos postsoviético de los años 90, el joven Vadim Baranov (Paul Dano) empieza a labrarse un camino como artista y productor de televisión. Su elocuencia y conexión con las altas esferas le llevan a convertirse, de la noche a la mañana, en el asesor de un agente del KGB con un brillante porvenir: Vladimir Putin (Jude Law). Desde las entrañas del poder, ambos darán forma a la nueva Rusia, difuminando, mediante manipulación, los límites entre la verdad y la mentira."
EL MAGO DEL KREMLIN,Olivier Assayas,145,10,21:45,2026-03-20,Renoir Princesa,https://www.pillalas.com/pase/1060293/,https://www.cinesrenoir.com/pelicula/el-mago-del-kremlin/,https://media.pillalas.com/imagenes/726afb526abffa833889e44ac42f5cc54d6019702d8546ebf4550316f78770131f777f2b.jpg,Inglés,No recomendada para menores de 12 años,Viernes 6 Marzo 2026,"Paul Dano, Alicia Vikander, Jude Law, Tom Sturridge, Jeffrey Wright, Will Keen","En medio del caos postsoviético de los años 90, el joven Vadim Baranov (Paul Dano) empieza a labrarse un camino como artista y productor de televisión. Su elocuencia y conexión con las altas esferas le llevan a convertirse, de la noche a la mañana, en el asesor de un agente del KGB con un brillante porvenir: Vladimir Putin (Jude Law). Desde las entrañas del poder, ambos darán forma a la nueva Rusia, difuminando, mediante manipulación, los límites entre la verdad y la mentira."
EL TESTAMENTO DE ANN LEE,Mona Fastvold,136,03,16:00,2026-03-20,Renoir Princesa,https://www.pillalas.com/pase/1060020/,https://www.cinesrenoir.com/pelicula/el-testamento-de-ann-lee/,https://media.pillalas.com/imagenes/726afb526abffa830b789c96ee6ff3b89647f6e742111b114addcc55b2329cb2e465f4c1.jpg,Inglés,No recomendada para menores de 16 años,Viernes 13 Marzo 2026,"Amanda Seyfried, Thomasin Mckenzie, Lewis Pullman, Christopher Abbott, Tim Blake Nelson, Stacy Martin, Matthew Beard, Scott Handy, Viola Prettejohn, Jamie Bogyo, David Cale","Película en torno a la leyenda real de Ann Lee, fundadora de la secta devocional conocida como los Shakers que predicaba la igualdad de género y social y era venerada por sus seguidores."
ELEGIR MI VIDA,Amélie Bonnin,96,07,15:50,2026-03-20,Renoir Princesa,https://www.pillalas.com/pase/1060283/,https://www.cinesrenoir.com/pelicula/elegir-mi-vida/,https://media.pillalas.com/imagenes/726afb526abffa83f8305cf2e84d7ba15df16005f879206ff895ebbe040eec79d27ccc2c.jpg,Francés,No recomendada para menores de 12 años,Viernes 20 Marzo 2026,"Juliette Armanet, Bastien Bouillon","Cécile (Juliette Armanet) está a punto de cumplir su sueño de abrir su propio restaurante, cuando su padre sufre un infarto y debe volver a su pequeño pueblo natal, lejos de la bulliciosa vida parisina. Allí, tiene un reencuentro inesperado con su amor de la adolescencia (Bastien Bouillon). A medida que resurgen los recuerdos, sus certezas comienzan a tambalearse…"
ELEGIR MI VIDA,Amélie Bonnin,96,03,18:30,2026-03-20,Renoir Princesa,https://www.pillalas.com/pase/1060152/,https://www.cinesrenoir.com/pelicula/elegir-mi-vida/,https://media.pillalas.com/imagenes/726afb526abffa83f8305cf2e84d7ba15df16005f879206ff895ebbe040eec79d27ccc2c.jpg,Francés,No recomendada para menores de 12 años,Viernes 20 Marzo 2026,"Juliette Armanet, Bastien Bouillon","Cécile (Juliette Armanet) está a punto de cumplir su sueño de abrir su propio restaurante, cuando su padre sufre un infarto y debe volver a su pequeño pueblo natal, lejos de la bulliciosa vida parisina. Allí, tiene un reencuentro inesperado con su amor de la adolescencia (Bastien Bouillon). A medida que resurgen los recuerdos, sus certezas comienzan a tambalearse…"
ELEGIR MI VIDA,Amélie Bonnin,96,03,20:25,2026-03-20,Renoir Princesa,https://www.pillalas.com/pase/1060156/,https://www.cinesrenoir.com/pelicula/elegir-mi-vida/,https://media.pillalas.com/imagenes/726afb526abffa83f8305cf2e84d7ba15df16005f879206ff895ebbe040eec79d27ccc2c.jpg,Francés,No recomendada para menores de 12 años,Viernes 20 Marzo 2026,"Juliette Armanet, Bastien Bouillon","Cécile (Juliette Armanet) está a punto de cumplir su sueño de abrir su propio restaurante, cuando su padre sufre un infarto y debe volver a su pequeño pueblo natal, lejos de la bulliciosa vida parisina. Allí, tiene un reencuentro inesperado con su amor de la adolescencia (Bastien Bouillon). A medida que resurgen los recuerdos, sus certezas comienzan a tambalearse…"
HAMNET,Chloé Zhao,125,06,16:00,2026-03-20,Renoir Princesa,https://www.pillalas.com/pase/1060148/,https://www.cinesrenoir.com/pelicula/hamnet/,https://www.cinesrenoir.com/media/Peliculas/Cartel/HAMNET_Cartel_Digital_8Nominaciones_Oscar_YaEnCines_v2_2.jpg,Inglés,No recomendada para menores de 12 años,Viernes 23 Enero 2026,"Jessie Buckley, Paul Mescal, Joe Alwyn, Emily Watson","Año 1596, Stratford-upon-Avon, Inglaterra. La vida de Agnes transcurre plácidamente junto a su marido y sus tres hijos. Ella cultiva plantas medicinales mientras William trabaja en Londres. El destino, sin embargo, les reservará un duro golpe cuando su hijo Hamnet, de once años, muera repentinamente tras contraer la peste. A raíz de esta tragedia, su padre creará uno de los grandes personajes de la literatura universal, de nombre casi idéntico al de su hijo.


Pero esta película no habla de famosos sucesos sino de algo íntimo y olvidado: La vida de esta familia, y especialmente la de la mujer que la sostenía y que tuvo que cargar con una insoportable pérdida."
HAMNET,Chloé Zhao,125,05,17:50,2026-03-20,Renoir Princesa,https://www.pillalas.com/pase/1060150/,https://www.cinesrenoir.com/pelicula/hamnet/,https://www.cinesrenoir.com/media/Peliculas/Cartel/HAMNET_Cartel_Digital_8Nominaciones_Oscar_YaEnCines_v2_2.jpg,Inglés,No recomendada para menores de 12 años,Viernes 23 Enero 2026,"Jessie Buckley, Paul Mescal, Joe Alwyn, Emily Watson","Año 1596, Stratford-upon-Avon, Inglaterra. La vida de Agnes transcurre plácidamente junto a su marido y sus tres hijos. Ella cultiva plantas medicinales mientras William trabaja en Londres. El destino, sin embargo, les reservará un duro golpe cuando su hijo Hamnet, de once años, muera repentinamente tras contraer la peste. A raíz de esta tragedia, su padre creará uno de los grandes personajes de la literatura universal, de nombre casi idéntico al de su hijo.


Pero esta película no habla de famosos sucesos sino de algo íntimo y olvidado: La vida de esta familia, y especialmente la de la mujer que la sostenía y que tuvo que cargar con una insoportable pérdida."
HAMNET,Chloé Zhao,125,05,20:10,2026-03-20,Renoir Princesa,https://www.pillalas.com/pase/1060154/,https://www.cinesrenoir.com/pelicula/hamnet/,https://www.cinesrenoir.com/media/Peliculas/Cartel/HAMNET_Cartel_Digital_8Nominaciones_Oscar_YaEnCines_v2_2.jpg,Inglés,No recomendada para menores de 12 años,Viernes 23 Enero 2026,"Jessie Buckley, Paul Mescal, Joe Alwyn, Emily Watson","Año 1596, Stratford-upon-Avon, Inglaterra. La vida de Agnes transcurre plácidamente junto a su marido y sus tres hijos. Ella cultiva plantas medicinales mientras William trabaja en Londres. El destino, sin embargo, les reservará un duro golpe cuando su hijo Hamnet, de once años, muera repentinamente tras contraer la peste. A raíz de esta tragedia, su padre creará uno de los grandes personajes de la literatura universal, de nombre casi idéntico al de su hijo.


Pero esta película no habla de famosos sucesos sino de algo íntimo y olvidado: La vida de esta familia, y especialmente la de la mujer que la sostenía y que tuvo que cargar con una insoportable pérdida."
HAMNET,Chloé Zhao,125,06,22:20,2026-03-20,Renoir Princesa,https://www.pillalas.com/pase/1060159/,https://www.cinesrenoir.com/pelicula/hamnet/,https://www.cinesrenoir.com/media/Peliculas/Cartel/HAMNET_Cartel_Digital_8Nominaciones_Oscar_YaEnCines_v2_2.jpg,Inglés,No recomendada para menores de 12 años,Viernes 23 Enero 2026,"Jessie Buckley, Paul Mescal, Joe Alwyn, Emily Watson","Año 1596, Stratford-upon-Avon, Inglaterra. La vida de Agnes transcurre plácidamente junto a su marido y sus tres hijos. Ella cultiva plantas medicinales mientras William trabaja en Londres. El destino, sin embargo, les reservará un duro golpe cuando su hijo Hamnet, de once años, muera repentinamente tras contraer la peste. A raíz de esta tragedia, su padre creará uno de los grandes personajes de la literatura universal, de nombre casi idéntico al de su hijo.


Pero esta película no habla de famosos sucesos sino de algo íntimo y olvidado: La vida de esta familia, y especialmente la de la mujer que la sostenía y que tuvo que cargar con una insoportable pérdida."
LOS DOMINGOS,Alauda Ruiz De Azúa,115,02,18:00,2026-03-20,Renoir Princesa,https://www.pillalas.com/pase/1060021/,https://www.cinesrenoir.com/pelicula/los-domingos/,https://www.cinesrenoir.com/media/Peliculas/Cartel/los_domingos_poster.jpg,Castellano,No recomendada para menores de 12 años,Viernes 24 Octubre 2025,"Patricia López Arnaiz, Blanca Soroa, Miguel Garcés, Juan Minujín, Mabel Rivera, Nagore Aramburu","'Los domingos' cuenta la historia de Ainara (Soroa), una joven idealista y brillante de 17 años que ha de decidir qué carrera universitaria estudiará. O, al menos, eso espera su familia que haga. Sin embargo, la joven manifiesta que se siente cada vez más cerca de Dios y que se plantea abrazar la vida de monja de clausura. La noticia pilla por sorpresa a toda la familia provocando un abismo y una prueba de fuego para todos."
