Pelicula,Director,Duración,Sala,Horario,Fecha,Cine
ANORA,Sean Baker,139,07,16:00,2024-12-18,Cines Princesa
ANORA,Sean Baker,139,11,19:50,2024-12-18,Cines Princesa
ANORA,Sean Baker,139,09,21:40,2024-12-18,Cines Princesa
ANSELM,Win Wenders,94,11,18:00,2024-12-18,Cines Princesa
BIRD,Andrea Arnold,118,02,18:05,2024-12-18,Cines Princesa
BIRD,Andrea Arnold,118,02,20:25,2024-12-18,Cines Princesa
BIRD,Andrea Arnold,118,03,22:35,2024-12-18,Cines Princesa
EMILIA PÉREZ,Jacques Audiard,132,09,16:00,2024-12-18,Cines Princesa
EMILIA PÉREZ,Jacques Audiard,132,05,18:00,2024-12-18,Cines Princesa
EMILIA PÉREZ,Jacques Audiard,132,09,19:00,2024-12-18,Cines Princesa
EMILIA PÉREZ,Jacques Audiard,132,05,20:30,2024-12-18,Cines Princesa
EMILIA PÉREZ,Jacques Audiard,132,11,22:25,2024-12-18,Cines Princesa
GLADIATOR II,Ridley Scott,147,10,16:00,2024-12-18,Cines Princesa
GLADIATOR II,Ridley Scott,147,10,18:50,2024-12-18,Cines Princesa
GLADIATOR II,Ridley Scott,147,06,22:00,2024-12-18,Cines Princesa
HERE (AQUÍ),Robert Zemeckis,103,11,16:00,2024-12-18,Cines Princesa
HERE (AQUÍ),Robert Zemeckis,103,07,18:35,2024-12-18,Cines Princesa
HERE (AQUÍ),Robert Zemeckis,103,07,20:35,2024-12-18,Cines Princesa
HERE (AQUÍ),Robert Zemeckis,103,07,22:35,2024-12-18,Cines Princesa
JURADO Nº 2,Clint Eastwood,117,04,16:00,2024-12-18,Cines Princesa
JURADO Nº 2,Clint Eastwood,117,04,18:10,2024-12-18,Cines Princesa
JURADO Nº 2,Clint Eastwood,117,04,20:20,2024-12-18,Cines Princesa
JURADO Nº 2,Clint Eastwood,117,04,22:30,2024-12-18,Cines Princesa
LA FIANZA,Gonzalo Perdomo - Tafur,92,08,16:00,2024-12-18,Cines Princesa
LA FIANZA,Gonzalo Perdomo - Tafur,92,08,17:50,2024-12-18,Cines Princesa
LA HABITACIÓN DE AL LADO (THE ROOM NEXT DOOR),Pedro Almodóvar,106,02,16:00,2024-12-18,Cines Princesa
LA HABITACIÓN DE AL LADO (THE ROOM NEXT DOOR),Pedro Almodóvar,106,03,20:30,2024-12-18,Cines Princesa
LA SUSTANCIA,Coralie Fargeat,141,03,16:00,2024-12-18,Cines Princesa
LA SUSTANCIA,Coralie Fargeat,141,01,18:00,2024-12-18,Cines Princesa
LA SUSTANCIA,Coralie Fargeat,141,08,22:00,2024-12-18,Cines Princesa
POR DONDE PASA EL SILENCIO,Sandra Romero,99,05,16:00,2024-12-18,Cines Princesa
POR DONDE PASA EL SILENCIO,Sandra Romero,99,01,22:35,2024-12-18,Cines Princesa
SOY NEVENKA,Icíar Bollaín,112,08,19:40,2024-12-18,Cines Princesa
WICKED,Jon M. Chu,160,06,16:00,2024-12-18,Cines Princesa
WICKED,Jon M. Chu,160,06,19:00,2024-12-18,Cines Princesa
WICKED,Jon M. Chu,160,10,21:35,2024-12-18,Cines Princesa
¿ES EL ENEMIGO?,Alexis Morante,99,01,16:00,2024-12-18,Cines Princesa
¿ES EL ENEMIGO?,Alexis Morante,99,03,18:35,2024-12-18,Cines Princesa
¿ES EL ENEMIGO?,Alexis Morante,99,01,20:35,2024-12-18,Cines Princesa
¿ES EL ENEMIGO?,Alexis Morante,99,02,22:45,2024-12-18,Cines Princesa
ANORA,Sean Baker,139,07,16:00,2024-12-19,Cines Princesa
ANORA,Sean Baker,139,11,19:50,2024-12-19,Cines Princesa
ANSELM,Win Wenders,94,11,18:00,2024-12-19,Cines Princesa
BIRD,Andrea Arnold,118,02,18:05,2024-12-19,Cines Princesa
BIRD,Andrea Arnold,118,02,20:25,2024-12-19,Cines Princesa
BIRD,Andrea Arnold,118,03,22:35,2024-12-19,Cines Princesa
EMILIA PÉREZ,Jacques Audiard,132,09,16:00,2024-12-19,Cines Princesa
EMILIA PÉREZ,Jacques Audiard,132,05,18:00,2024-12-19,Cines Princesa
EMILIA PÉREZ,Jacques Audiard,132,05,20:30,2024-12-19,Cines Princesa
EMILIA PÉREZ,Jacques Audiard,132,11,22:25,2024-12-19,Cines Princesa
GLADIATOR II,Ridley Scott,147,10,16:00,2024-12-19,Cines Princesa
GLADIATOR II,Ridley Scott,147,10,18:50,2024-12-19,Cines Princesa
GLADIATOR II,Ridley Scott,147,06,22:00,2024-12-19,Cines Princesa
HERE (AQUÍ),Robert Zemeckis,103,11,16:00,2024-12-19,Cines Princesa
HERE (AQUÍ),Robert Zemeckis,103,07,18:35,2024-12-19,Cines Princesa
HERE (AQUÍ),Robert Zemeckis,103,07,20:35,2024-12-19,Cines Princesa
HERE (AQUÍ),Robert Zemeckis,103,07,22:35,2024-12-19,Cines Princesa
JURADO Nº 2,Clint Eastwood,117,04,16:00,2024-12-19,Cines Princesa
JURADO Nº 2,Clint Eastwood,117,04,18:10,2024-12-19,Cines Princesa
JURADO Nº 2,Clint Eastwood,117,04,20:20,2024-12-19,Cines Princesa
JURADO Nº 2,Clint Eastwood,117,04,22:30,2024-12-19,Cines Princesa
LA FIANZA,Gonzalo Perdomo - Tafur,92,08,16:00,2024-12-19,Cines Princesa
LA FIANZA,Gonzalo Perdomo - Tafur,92,08,17:50,2024-12-19,Cines Princesa
