Pelicula,Director,Duración,Sala,Horario,Fecha,Cine
A COMPLETE UNKNOWN,James Mangold,141,02,16:00,2025-03-18,Renoir Princesa
A COMPLETE UNKNOWN,James Mangold,141,05,17:40,2025-03-18,Renoir Princesa
A COMPLETE UNKNOWN,James Mangold,141,05,20:15,2025-03-18,Renoir Princesa
A COMPLETE UNKNOWN,James Mangold,141,02,22:05,2025-03-18,Renoir Princesa
A REAL PAIN,Jesse Eisenberg,89,05,16:00,2025-03-18,Renoir Princesa
A REAL PAIN,Jesse Eisenberg,89,02,18:35,2025-03-18,Renoir Princesa
A REAL PAIN,Jesse Eisenberg,89,02,20:20,2025-03-18,Renoir Princesa
ANORA,Sean Baker,139,08,16:00,2025-03-18,Renoir Princesa
ANORA,Sean Baker,139,09,18:00,2025-03-18,Renoir Princesa
ANORA,Sean Baker,139,09,20:35,2025-03-18,Renoir Princesa
ANORA,Sean Baker,139,01,22:00,2025-03-18,Renoir Princesa
AÚN ESTOY AQUÍ,Walter Salles,138,06,16:00,2025-03-18,Renoir Princesa
AÚN ESTOY AQUÍ,Walter Salles,138,06,19:00,2025-03-18,Renoir Princesa
AÚN ESTOY AQUÍ,Walter Salles,138,08,20:40,2025-03-18,Renoir Princesa
AÚN ESTOY AQUÍ,Walter Salles,138,06,21:40,2025-03-18,Renoir Princesa
CÓNCLAVE,Edward Berger,120,03,16:00,2025-03-18,Renoir Princesa
CÓNCLAVE,Edward Berger,120,04,17:55,2025-03-18,Renoir Princesa
CÓNCLAVE,Edward Berger,120,04,20:10,2025-03-18,Renoir Princesa
CÓNCLAVE,Edward Berger,120,04,22:25,2025-03-18,Renoir Princesa
DANIELA FOREVER,Nacho Vigalondo,118,01,19:30,2025-03-18,Renoir Princesa
EL SECRETO DEL ORFEBRE,Olga Osorio,99,05,22:45,2025-03-18,Renoir Princesa
MARÍA CALLAS,Pablo Larraín,122,08,18:30,2025-03-18,Renoir Princesa
MI ÚNICA FAMILIA (HARD TRUTHS),Mike Leigh,97,04,16:00,2025-03-18,Renoir Princesa
MICKEY 17,Bong Joon-Ho,136,11,16:10,2025-03-18,Renoir Princesa
MICKEY 17,Bong Joon-Ho,136,11,19:00,2025-03-18,Renoir Princesa
MICKEY 17,Bong Joon-Ho,136,11,21:40,2025-03-18,Renoir Princesa
MORLAIX,Jaime Rosales,124,10,16:10,2025-03-18,Renoir Princesa
MORLAIX,Jaime Rosales,124,10,19:10,2025-03-18,Renoir Princesa
MORLAIX,Jaime Rosales,124,10,21:40,2025-03-18,Renoir Princesa
PRESENCE,Steven Soderbergh,85,01,16:00,2025-03-18,Renoir Princesa
PRESENCE,Steven Soderbergh,85,01,17:45,2025-03-18,Renoir Princesa
THE BRUTALIST,Brady Corbet,214,07,16:00,2025-03-18,Renoir Princesa
