Pelicula,Director,Duración,Sala,Horario,Fecha,Cine
A COMPLETE UNKNOWN,James Mangold,141,11,16:00,2025-04-07,Renoir Princesa
A COMPLETE UNKNOWN,James Mangold,141,05,18:00,2025-04-07,Renoir Princesa
A COMPLETE UNKNOWN,James Mangold,141,05,20:35,2025-04-07,Renoir Princesa
A NUESTROS AMIGOS,Adrián Orr,88,08,18:35,2025-04-07,Renoir Princesa
ANORA,Sean Baker,139,02,16:10,2025-04-07,Renoir Princesa
ANORA,Sean Baker,139,10,17:40,2025-04-07,Renoir Princesa
ANORA,Sean Baker,139,10,20:20,2025-04-07,Renoir Princesa
AÚN ESTOY AQUÍ,Walter Salles,138,08,16:00,2025-04-07,Renoir Princesa
AÚN ESTOY AQUÍ,Walter Salles,138,04,18:00,2025-04-07,Renoir Princesa
AÚN ESTOY AQUÍ,Walter Salles,138,04,20:35,2025-04-07,Renoir Princesa
CÓNCLAVE,Edward Berger,120,09,16:00,2025-04-07,Renoir Princesa
CÓNCLAVE,Edward Berger,120,06,18:00,2025-04-07,Renoir Princesa
CÓNCLAVE,Edward Berger,120,06,20:15,2025-04-07,Renoir Princesa
CÓNCLAVE,Edward Berger,120,06,22:30,2025-04-07,Renoir Princesa
GHOSTLIGHT,"Kelly O Sullivan, Alex Thompson",114,01,18:30,2025-04-07,Renoir Princesa
GHOSTLIGHT,"Kelly O Sullivan, Alex Thompson",114,01,20:35,2025-04-07,Renoir Princesa
GHOSTLIGHT,"Kelly O Sullivan, Alex Thompson",114,08,22:15,2025-04-07,Renoir Princesa
GUILLERMO TELL,Nick Hamm,133,01,16:00,2025-04-07,Renoir Princesa
GUILLERMO TELL,Nick Hamm,133,02,19:00,2025-04-07,Renoir Princesa
GUILLERMO TELL,Nick Hamm,133,02,21:45,2025-04-07,Renoir Princesa
LOS AITAS,Borja Cobeaga,88,10,16:00,2025-04-07,Renoir Princesa
MICKEY 17,Bong Joon-Ho,136,07,16:00,2025-04-07,Renoir Princesa
MICKEY 17,Bong Joon-Ho,136,07,19:00,2025-04-07,Renoir Princesa
MICKEY 17,Bong Joon-Ho,136,07,21:45,2025-04-07,Renoir Princesa
MISERICORDIA,Alain Guiraudie,104,03,16:00,2025-04-07,Renoir Princesa
MISERICORDIA,Alain Guiraudie,104,03,20:05,2025-04-07,Renoir Princesa
"MODIGLIANI, TRES DÍAS EN MONTPARNASSE",Johnny Depp,108,03,18:00,2025-04-07,Renoir Princesa
POR TODO LO ALTO,Emmanuel Courcol,103,06,16:00,2025-04-07,Renoir Princesa
POR TODO LO ALTO,Emmanuel Courcol,103,09,18:20,2025-04-07,Renoir Princesa
POR TODO LO ALTO,Emmanuel Courcol,103,09,20:20,2025-04-07,Renoir Princesa
POR TODO LO ALTO,Emmanuel Courcol,103,09,22:20,2025-04-07,Renoir Princesa
THE ALTO KNIGHTS,Barry Levinson,120,03,22:10,2025-04-07,Renoir Princesa
TIERRA DE NADIE,Albert Pintó,101,05,16:00,2025-04-07,Renoir Princesa
TIERRA DE NADIE,Albert Pintó,101,11,18:35,2025-04-07,Renoir Princesa
TIERRA DE NADIE,Albert Pintó,101,11,20:30,2025-04-07,Renoir Princesa
VIDA EN PAUSA,Alexandros Avranas,99,04,16:00,2025-04-07,Renoir Princesa
VIDA EN PAUSA,Alexandros Avranas,99,08,20:20,2025-04-07,Renoir Princesa
VIDA EN PAUSA,Alexandros Avranas,99,01,22:45,2025-04-07,Renoir Princesa
WOLFGANG,Javier Ruiz Caldera,110,11,22:25,2025-04-07,Renoir Princesa
A COMPLETE UNKNOWN,James Mangold,141,11,16:00,2025-04-08,Renoir Princesa
A COMPLETE UNKNOWN,James Mangold,141,05,18:00,2025-04-08,Renoir Princesa
A COMPLETE UNKNOWN,James Mangold,141,05,20:35,2025-04-08,Renoir Princesa
A NUESTROS AMIGOS,Adrián Orr,88,08,18:35,2025-04-08,Renoir Princesa
ANORA,Sean Baker,139,01,16:10,2025-04-08,Renoir Princesa
ANORA,Sean Baker,139,07,17:40,2025-04-08,Renoir Princesa
AÚN ESTOY AQUÍ,Walter Salles,138,08,16:00,2025-04-08,Renoir Princesa
AÚN ESTOY AQUÍ,Walter Salles,138,04,18:00,2025-04-08,Renoir Princesa
AÚN ESTOY AQUÍ,Walter Salles,138,04,20:35,2025-04-08,Renoir Princesa
CÓNCLAVE,Edward Berger,120,09,16:00,2025-04-08,Renoir Princesa
CÓNCLAVE,Edward Berger,120,06,18:00,2025-04-08,Renoir Princesa
CÓNCLAVE,Edward Berger,120,06,20:15,2025-04-08,Renoir Princesa
CÓNCLAVE,Edward Berger,120,06,22:30,2025-04-08,Renoir Princesa
EL NOMBRE DE LA ROSA,Jean-Jacques Annaud,130,07,20:30,2025-04-08,Renoir Princesa
GHOSTLIGHT,"Kelly O Sullivan, Alex Thompson",114,02,18:30,2025-04-08,Renoir Princesa
GHOSTLIGHT,"Kelly O Sullivan, Alex Thompson",114,08,22:15,2025-04-08,Renoir Princesa
GUILLERMO TELL,Nick Hamm,133,02,16:00,2025-04-08,Renoir Princesa
GUILLERMO TELL,Nick Hamm,133,01,19:00,2025-04-08,Renoir Princesa
GUILLERMO TELL,Nick Hamm,133,01,21:45,2025-04-08,Renoir Princesa
LOS AITAS,Borja Cobeaga,88,07,16:00,2025-04-08,Renoir Princesa
MICKEY 17,Bong Joon-Ho,136,10,16:00,2025-04-08,Renoir Princesa
MICKEY 17,Bong Joon-Ho,136,10,19:00,2025-04-08,Renoir Princesa
MICKEY 17,Bong Joon-Ho,136,10,21:45,2025-04-08,Renoir Princesa
MISERICORDIA,Alain Guiraudie,104,03,16:00,2025-04-08,Renoir Princesa
MISERICORDIA,Alain Guiraudie,104,03,20:05,2025-04-08,Renoir Princesa
"MODIGLIANI, TRES DÍAS EN MONTPARNASSE",Johnny Depp,108,03,18:00,2025-04-08,Renoir Princesa
POR TODO LO ALTO,Emmanuel Courcol,103,06,16:00,2025-04-08,Renoir Princesa
