Pelicula,Director,Duración,Sala,Horario,Fecha,Cine,Tickets_URL,Film_URL,Poster_URL,Idioma_Original,Calificación,Estreno,Intérpretes,Sinopsis
CAMINANDO CON EL DIABLO,Rubén Pérez-Barrena,83,09,18:20,2026-03-11,Renoir Princesa,https://www.pillalas.com/pase/1058097/,https://www.cinesrenoir.com/pelicula/caminando-con-el-diablo/,https://media.pillalas.com/imagenes/726afb526abffa83961675500a58cf0d4c3949b70c666a7228045fb9d4e5bc88aba5c294.jpg,Castellano,No recomendada para menores de 16 años,Viernes 6 Marzo 2026,"Tamar Novas, Marina Salas, Iván Marcos, Annick Weerts, Alban Petit","España, años ochenta. Miguel y Alicia arrastran la desaparición de su hijo Gabriel. Miguel se consume por la culpa de aquella noche de alcohol en la que lo perdió. Para Alicia, en cambio, quien murió ese día no fue su hijo, sino su marido. Lejos de ese infierno, Philippe, un niño francés de diez años, viaja en caravana junto a sus padres. Sus caminos se cruzan con los de Miguel y Alicia. Ese encuentro desencadena un viaje sin retorno al lado más oscuro del ser humano."
CUMBRES BORRASCOSAS,Emerald Fennell,135,09,15:50,2026-03-11,Renoir Princesa,https://www.pillalas.com/pase/1058094/,https://www.cinesrenoir.com/pelicula/cumbres-borrascosas/,https://media.pillalas.com/imagenes/726afb526abffa83abe8577deb3c0674bd352fd2b0500497b1d5570f2dd570487210fc4e.jpg,Inglés,No recomendada para menores de 16 años,Viernes 13 Febrero 2026,"Margot Robbie, Jacob Elordi, Hong Chau, Alison Oliver, Owen Cooper, Shazad Latif, Martin Clunes, Ewan Mitchell, Amy Morgan, Jessica Knappett, Charlotte Mellington, Vy Nguyen","Adaptada a todo tipo de formatos en multitud de ocasiones, se trata de una trágica historia de pasiones encontradas en la Inglaterra rural más conservadora. Una historia de venganza y odio, de pasiones desatadas y amores desesperados que van más allá de la muerte ambientada en los brumosos y sombríos páramos de Yorkshire, al norte de Inglaterra."
CUMBRES BORRASCOSAS,Emerald Fennell,135,07,17:40,2026-03-11,Renoir Princesa,https://www.pillalas.com/pase/1058014/,https://www.cinesrenoir.com/pelicula/cumbres-borrascosas/,https://media.pillalas.com/imagenes/726afb526abffa83abe8577deb3c0674bd352fd2b0500497b1d5570f2dd570487210fc4e.jpg,Inglés,No recomendada para menores de 16 años,Viernes 13 Febrero 2026,"Margot Robbie, Jacob Elordi, Hong Chau, Alison Oliver, Owen Cooper, Shazad Latif, Martin Clunes, Ewan Mitchell, Amy Morgan, Jessica Knappett, Charlotte Mellington, Vy Nguyen","Adaptada a todo tipo de formatos en multitud de ocasiones, se trata de una trágica historia de pasiones encontradas en la Inglaterra rural más conservadora. Una historia de venganza y odio, de pasiones desatadas y amores desesperados que van más allá de la muerte ambientada en los brumosos y sombríos páramos de Yorkshire, al norte de Inglaterra."
CUMBRES BORRASCOSAS,Emerald Fennell,135,09,20:00,2026-03-11,Renoir Princesa,https://www.pillalas.com/pase/1058098/,https://www.cinesrenoir.com/pelicula/cumbres-borrascosas/,https://media.pillalas.com/imagenes/726afb526abffa83abe8577deb3c0674bd352fd2b0500497b1d5570f2dd570487210fc4e.jpg,Inglés,No recomendada para menores de 16 años,Viernes 13 Febrero 2026,"Margot Robbie, Jacob Elordi, Hong Chau, Alison Oliver, Owen Cooper, Shazad Latif, Martin Clunes, Ewan Mitchell, Amy Morgan, Jessica Knappett, Charlotte Mellington, Vy Nguyen","Adaptada a todo tipo de formatos en multitud de ocasiones, se trata de una trágica historia de pasiones encontradas en la Inglaterra rural más conservadora. Una historia de venganza y odio, de pasiones desatadas y amores desesperados que van más allá de la muerte ambientada en los brumosos y sombríos páramos de Yorkshire, al norte de Inglaterra."
CUMBRES BORRASCOSAS,Emerald Fennell,135,09,22:30,2026-03-11,Renoir Princesa,https://www.pillalas.com/pase/1058103/,https://www.cinesrenoir.com/pelicula/cumbres-borrascosas/,https://media.pillalas.com/imagenes/726afb526abffa83abe8577deb3c0674bd352fd2b0500497b1d5570f2dd570487210fc4e.jpg,Inglés,No recomendada para menores de 16 años,Viernes 13 Febrero 2026,"Margot Robbie, Jacob Elordi, Hong Chau, Alison Oliver, Owen Cooper, Shazad Latif, Martin Clunes, Ewan Mitchell, Amy Morgan, Jessica Knappett, Charlotte Mellington, Vy Nguyen","Adaptada a todo tipo de formatos en multitud de ocasiones, se trata de una trágica historia de pasiones encontradas en la Inglaterra rural más conservadora. Una historia de venganza y odio, de pasiones desatadas y amores desesperados que van más allá de la muerte ambientada en los brumosos y sombríos páramos de Yorkshire, al norte de Inglaterra."
EL AGENTE SECRETO,Kleber Mendonça Filho,160,04,16:00,2026-03-11,Renoir Princesa,https://www.pillalas.com/pase/1058013/,https://www.cinesrenoir.com/pelicula/el-agente-secreto/,https://media.pillalas.com/imagenes/726afb526abffa83bdba0b90e98cf11293bcd8b9c8be1af817aa6c045cd8f479730f7511.jpg,Portugués,No recomendada para menores de 16 años,Viernes 20 Febrero 2026,"Wagner Moura, Gabriel Leone, Udo Kier, Maria Fernanda Cândido","1977. En un Brasil atormentado por la dictadura militar, Marcelo, un cuarentón que huye de un pasado turbulento, llega a la ciudad de Recife, donde espera construir una nueva vida y reencontrarse con su hijo. Todo se complica cuando descubre que las fuerzas gubernamentales le persiguen y las amenazas de muerte se ciernen sobre su cabeza."
EL AGENTE SECRETO,Kleber Mendonça Filho,160,04,18:55,2026-03-11,Renoir Princesa,https://www.pillalas.com/pase/1058017/,https://www.cinesrenoir.com/pelicula/el-agente-secreto/,https://media.pillalas.com/imagenes/726afb526abffa83bdba0b90e98cf11293bcd8b9c8be1af817aa6c045cd8f479730f7511.jpg,Portugués,No recomendada para menores de 16 años,Viernes 20 Febrero 2026,"Wagner Moura, Gabriel Leone, Udo Kier, Maria Fernanda Cândido","1977. En un Brasil atormentado por la dictadura militar, Marcelo, un cuarentón que huye de un pasado turbulento, llega a la ciudad de Recife, donde espera construir una nueva vida y reencontrarse con su hijo. Todo se complica cuando descubre que las fuerzas gubernamentales le persiguen y las amenazas de muerte se ciernen sobre su cabeza."
EL AGENTE SECRETO,Kleber Mendonça Filho,160,07,20:15,2026-03-11,Renoir Princesa,https://www.pillalas.com/pase/1058099/,https://www.cinesrenoir.com/pelicula/el-agente-secreto/,https://media.pillalas.com/imagenes/726afb526abffa83bdba0b90e98cf11293bcd8b9c8be1af817aa6c045cd8f479730f7511.jpg,Portugués,No recomendada para menores de 16 años,Viernes 20 Febrero 2026,"Wagner Moura, Gabriel Leone, Udo Kier, Maria Fernanda Cândido","1977. En un Brasil atormentado por la dictadura militar, Marcelo, un cuarentón que huye de un pasado turbulento, llega a la ciudad de Recife, donde espera construir una nueva vida y reencontrarse con su hijo. Todo se complica cuando descubre que las fuerzas gubernamentales le persiguen y las amenazas de muerte se ciernen sobre su cabeza."
EL AGENTE SECRETO,Kleber Mendonça Filho,160,04,21:50,2026-03-11,Renoir Princesa,https://www.pillalas.com/pase/1058022/,https://www.cinesrenoir.com/pelicula/el-agente-secreto/,https://media.pillalas.com/imagenes/726afb526abffa83bdba0b90e98cf11293bcd8b9c8be1af817aa6c045cd8f479730f7511.jpg,Portugués,No recomendada para menores de 16 años,Viernes 20 Febrero 2026,"Wagner Moura, Gabriel Leone, Udo Kier, Maria Fernanda Cândido","1977. En un Brasil atormentado por la dictadura militar, Marcelo, un cuarentón que huye de un pasado turbulento, llega a la ciudad de Recife, donde espera construir una nueva vida y reencontrarse con su hijo. Todo se complica cuando descubre que las fuerzas gubernamentales le persiguen y las amenazas de muerte se ciernen sobre su cabeza."
EL MAGO DEL KREMLIN,Olivier Assayas,145,03,16:10,2026-03-11,Renoir Princesa,https://www.pillalas.com/pase/1057928/,https://www.cinesrenoir.com/pelicula/el-mago-del-kremlin/,https://media.pillalas.com/imagenes/726afb526abffa833889e44ac42f5cc54d6019702d8546ebf4550316f78770131f777f2b.jpg,Inglés,No recomendada para menores de 12 años,Viernes 6 Marzo 2026,"Paul Dano, Alicia Vikander, Jude Law, Tom Sturridge, Jeffrey Wright, Will Keen","En medio del caos postsoviético de los años 90, el joven Vadim Baranov (Paul Dano) empieza a labrarse un camino como artista y productor de televisión. Su elocuencia y conexión con las altas esferas le llevan a convertirse, de la noche a la mañana, en el asesor de un agente del KGB con un brillante porvenir: Vladimir Putin (Jude Law). Desde las entrañas del poder, ambos darán forma a la nueva Rusia, difuminando, mediante manipulación, los límites entre la verdad y la mentira."
EL MAGO DEL KREMLIN,Olivier Assayas,145,01,17:40,2026-03-11,Renoir Princesa,https://www.pillalas.com/pase/1057929/,https://www.cinesrenoir.com/pelicula/el-mago-del-kremlin/,https://media.pillalas.com/imagenes/726afb526abffa833889e44ac42f5cc54d6019702d8546ebf4550316f78770131f777f2b.jpg,Inglés,No recomendada para menores de 12 años,Viernes 6 Marzo 2026,"Paul Dano, Alicia Vikander, Jude Law, Tom Sturridge, Jeffrey Wright, Will Keen","En medio del caos postsoviético de los años 90, el joven Vadim Baranov (Paul Dano) empieza a labrarse un camino como artista y productor de televisión. Su elocuencia y conexión con las altas esferas le llevan a convertirse, de la noche a la mañana, en el asesor de un agente del KGB con un brillante porvenir: Vladimir Putin (Jude Law). Desde las entrañas del poder, ambos darán forma a la nueva Rusia, difuminando, mediante manipulación, los límites entre la verdad y la mentira."
EL MAGO DEL KREMLIN,Olivier Assayas,145,01,22:10,2026-03-11,Renoir Princesa,https://www.pillalas.com/pase/1057932/,https://www.cinesrenoir.com/pelicula/el-mago-del-kremlin/,https://media.pillalas.com/imagenes/726afb526abffa833889e44ac42f5cc54d6019702d8546ebf4550316f78770131f777f2b.jpg,Inglés,No recomendada para menores de 12 años,Viernes 6 Marzo 2026,"Paul Dano, Alicia Vikander, Jude Law, Tom Sturridge, Jeffrey Wright, Will Keen","En medio del caos postsoviético de los años 90, el joven Vadim Baranov (Paul Dano) empieza a labrarse un camino como artista y productor de televisión. Su elocuencia y conexión con las altas esferas le llevan a convertirse, de la noche a la mañana, en el asesor de un agente del KGB con un brillante porvenir: Vladimir Putin (Jude Law). Desde las entrañas del poder, ambos darán forma a la nueva Rusia, difuminando, mediante manipulación, los límites entre la verdad y la mentira."
