Pelicula,Director,Duración,Sala,Horario,Fecha,Cine
ANORA,Sean Baker,139,10,17:50,2024-12-30,Renoir Princesa
ANORA,Sean Baker,139,10,20:25,2024-12-30,Renoir Princesa
ANSELM,Win Wenders,94,10,16:00,2024-12-30,Renoir Princesa
BIRD,Andrea Arnold,118,08,16:00,2024-12-30,Renoir Princesa
BIRD,Andrea Arnold,118,08,18:15,2024-12-30,Renoir Princesa
BIRD,Andrea Arnold,118,02,22:35,2024-12-30,Renoir Princesa
CÓNCLAVE,Edward Berger,120,09,16:00,2024-12-30,Renoir Princesa
CÓNCLAVE,Edward Berger,120,09,18:15,2024-12-30,Renoir Princesa
CÓNCLAVE,Edward Berger,120,09,20:30,2024-12-30,Renoir Princesa
CÓNCLAVE,Edward Berger,120,07,22:30,2024-12-30,Renoir Princesa
EMILIA PÉREZ,Jacques Audiard,132,01,16:00,2024-12-30,Renoir Princesa
EMILIA PÉREZ,Jacques Audiard,132,11,18:10,2024-12-30,Renoir Princesa
EMILIA PÉREZ,Jacques Audiard,132,11,20:35,2024-12-30,Renoir Princesa
EMILIA PÉREZ,Jacques Audiard,132,06,22:00,2024-12-30,Renoir Princesa
GLADIATOR II,Ridley Scott,147,08,20:35,2024-12-30,Renoir Princesa
HERE (AQUÍ),Robert Zemeckis,103,11,16:00,2024-12-30,Renoir Princesa
JURADO Nº 2,Clint Eastwood,117,07,16:00,2024-12-30,Renoir Princesa
JURADO Nº 2,Clint Eastwood,117,07,18:10,2024-12-30,Renoir Princesa
JURADO Nº 2,Clint Eastwood,117,07,20:20,2024-12-30,Renoir Princesa
JURADO Nº 2,Clint Eastwood,117,09,22:45,2024-12-30,Renoir Princesa
LA HABITACIÓN DE AL LADO (THE ROOM NEXT DOOR),Pedro Almodóvar,106,03,16:00,2024-12-30,Renoir Princesa
LA HABITACIÓN DE AL LADO (THE ROOM NEXT DOOR),Pedro Almodóvar,106,03,20:05,2024-12-30,Renoir Princesa
LA SUSTANCIA,Coralie Fargeat,141,02,18:00,2024-12-30,Renoir Princesa
