Pelicula,Director,Duración,Sala,Horario,Fecha,Cine
A REAL PAIN,Jesse Eisenberg,89,03,16:00,2025-02-09,Renoir Princesa
A REAL PAIN,Jesse Eisenberg,89,11,18:30,2025-02-09,Renoir Princesa
A REAL PAIN,Jesse Eisenberg,89,11,20:15,2025-02-09,Renoir Princesa
A REAL PAIN,Jesse Eisenberg,89,07,22:15,2025-02-09,Renoir Princesa
ANORA,Sean Baker,139,03,22:00,2025-02-09,Renoir Princesa
BABYGIRL,Halina Reijn,114,01,20:15,2025-02-09,Renoir Princesa
BABYGIRL,Halina Reijn,114,01,22:30,2025-02-09,Renoir Princesa
BECOMING LED ZEPPELIN,Bernard Macmahon Bernard Macmahon,121,03,17:45,2025-02-09,Renoir Princesa
CORAZONES ROTOS,Gilles Lellouche,161,02,21:30,2025-02-09,Renoir Princesa
CÓMO HACERSE MILLONARIO ANTES DE QUE MUERA LA ABUELA,Pat Boonnitipat,126,01,17:55,2025-02-09,Renoir Princesa
CÓNCLAVE,Edward Berger,120,06,16:00,2025-02-09,Renoir Princesa
CÓNCLAVE,Edward Berger,120,04,17:50,2025-02-09,Renoir Princesa
CÓNCLAVE,Edward Berger,120,04,20:10,2025-02-09,Renoir Princesa
CÓNCLAVE,Edward Berger,120,04,22:25,2025-02-09,Renoir Princesa
EMILIA PÉREZ,Jacques Audiard,132,11,16:00,2025-02-09,Renoir Princesa
EMILIA PÉREZ,Jacques Audiard,132,07,20:00,2025-02-09,Renoir Princesa
EMILIA PÉREZ,Jacques Audiard,132,11,22:00,2025-02-09,Renoir Princesa
FIN DE FIESTA,Elena Manrique,101,01,16:00,2025-02-09,Renoir Princesa
FIN DE FIESTA,Elena Manrique,101,07,18:00,2025-02-09,Renoir Princesa
LA ACOMPAÑANTE,Drew Hancock,96,08,16:00,2025-02-09,Renoir Princesa
LA ACOMPAÑANTE,Drew Hancock,96,08,20:15,2025-02-09,Renoir Princesa
LA ACOMPAÑANTE,Drew Hancock,96,06,22:45,2025-02-09,Renoir Princesa
LA RED FANTASMA,Jonathan Millet,107,07,16:00,2025-02-09,Renoir Princesa
LA RED FANTASMA,Jonathan Millet,107,03,20:00,2025-02-09,Renoir Princesa
MARÍA CALLAS,Pablo Larraín,122,10,16:00,2025-02-09,Renoir Princesa
MARÍA CALLAS,Pablo Larraín,122,06,18:15,2025-02-09,Renoir Princesa
MARÍA CALLAS,Pablo Larraín,122,06,20:30,2025-02-09,Renoir Princesa
MARÍA CALLAS,Pablo Larraín,122,10,22:10,2025-02-09,Renoir Princesa
MEMORIAS DE UN CARACOL,Adam Elliott,95,02,19:30,2025-02-09,Renoir Princesa
MIOCARDIO,José Manuel Carrasco,77,02,17:50,2025-02-09,Renoir Princesa
NO HAY AMOR PERDIDO,Erwan Le Duc,91,02,16:00,2025-02-09,Renoir Princesa
NOSFERATU,Robert Eggers,132,08,17:50,2025-02-09,Renoir Princesa
NOSFERATU,Robert Eggers,132,08,22:15,2025-02-09,Renoir Princesa
SEPTIEMBRE 5,Tim Fehlbaum,94,04,16:00,2025-02-09,Renoir Princesa
SEPTIEMBRE 5,Tim Fehlbaum,94,10,18:15,2025-02-09,Renoir Princesa
SEPTIEMBRE 5,Tim Fehlbaum,94,10,20:10,2025-02-09,Renoir Princesa
THE BRUTALIST,Brady Corbet,214,09,16:00,2025-02-09,Renoir Princesa
