Pelicula,Director,Duración,Sala,Horario,Fecha,Cine
A REAL PAIN,Jesse Eisenberg,89,06,16:00,2025-02-02,Renoir Princesa
A REAL PAIN,Jesse Eisenberg,89,07,18:30,2025-02-02,Renoir Princesa
A REAL PAIN,Jesse Eisenberg,89,07,20:15,2025-02-02,Renoir Princesa
ANORA,Sean Baker,139,03,20:10,2025-02-02,Renoir Princesa
BABYGIRL,Halina Reijn,114,10,16:00,2025-02-02,Renoir Princesa
BABYGIRL,Halina Reijn,114,10,18:10,2025-02-02,Renoir Princesa
BABYGIRL,Halina Reijn,114,01,22:35,2025-02-02,Renoir Princesa
CORAZONES ROTOS,Gilles Lellouche,161,01,17:50,2025-02-02,Renoir Princesa
CORAZONES ROTOS,Gilles Lellouche,161,11,21:35,2025-02-02,Renoir Princesa
CÓMO HACERSE MILLONARIO ANTES DE QUE MUERA LA ABUELA,Pat Boonnitipat,126,03,17:50,2025-02-02,Renoir Princesa
CÓNCLAVE,Edward Berger,120,08,16:00,2025-02-02,Renoir Princesa
CÓNCLAVE,Edward Berger,120,04,18:00,2025-02-02,Renoir Princesa
CÓNCLAVE,Edward Berger,120,04,20:15,2025-02-02,Renoir Princesa
CÓNCLAVE,Edward Berger,120,04,22:30,2025-02-02,Renoir Princesa
EMILIA PÉREZ,Jacques Audiard,132,07,16:00,2025-02-02,Renoir Princesa
EMILIA PÉREZ,Jacques Audiard,132,06,17:45,2025-02-02,Renoir Princesa
EMILIA PÉREZ,Jacques Audiard,132,06,20:15,2025-02-02,Renoir Princesa
EMILIA PÉREZ,Jacques Audiard,132,07,22:00,2025-02-02,Renoir Princesa
FIN DE FIESTA,Elena Manrique,101,04,16:00,2025-02-02,Renoir Princesa
FIN DE FIESTA,Elena Manrique,101,08,20:00,2025-02-02,Renoir Princesa
LA ACOMPAÑANTE,Drew Hancock,96,03,16:00,2025-02-02,Renoir Princesa
LA ACOMPAÑANTE,Drew Hancock,96,11,17:50,2025-02-02,Renoir Princesa
LA ACOMPAÑANTE,Drew Hancock,96,10,20:20,2025-02-02,Renoir Princesa
LA ACOMPAÑANTE,Drew Hancock,96,06,22:45,2025-02-02,Renoir Princesa
