Pelicula,Director,Duración,Sala,Horario,Fecha,Cine
Aún estoy aquí (VOSE),,138,02,16:15,2025-02-27,Golem Madrid
Aún estoy aquí (VOSE),,138,02,21:45,2025-02-27,Golem Madrid
La tutoría (Armand) (VOSE),,117,03,22:00,2025-02-27,Golem Madrid
Anora (VOSE),,139,01,19:00,2025-02-27,Golem Madrid
María Callas (VOSE),,123,03,19:30,2025-02-27,Golem Madrid
Las vidas de Sing Sing (VOSE),,107,05,22:15,2025-02-27,Golem Madrid
Cónclave (VOSE),,120,01,21:45,2025-02-27,Golem Madrid
Vermiglio (VOSE),,119,05,16:10,2025-02-27,Golem Madrid
La semilla de la higuera sagrada (VOSE),,166,03,16:15,2025-02-27,Golem Madrid
The Brutalist (VOSE),,214,04,16:15,2025-02-27,Golem Madrid
Vermiglio (VOSE),,119,04,20:10,2025-02-27,Golem Madrid
Aún estoy aquí (VOSE),,138,02,19:00,2025-02-27,Golem Madrid
La tutoría (Armand) (VOSE),,117,01,16:30,2025-02-27,Golem Madrid
The Brutalist (VOSE),,214,05,18:30,2025-02-27,Golem Madrid
A Real Pain (VOSE),,89,04,22:30,2025-02-27,Golem Madrid
Nosotros,,94,01,22:30,2025-02-28,Golem Madrid
Aún estoy aquí (VOSE),,138,04,21:45,2025-02-28,Golem Madrid
Mi Única familia (Hard Truths) (VOSE),,97,05,20:20,2025-02-28,Golem Madrid
Aún estoy aquí (VOSE),,138,04,16:15,2025-02-28,Golem Madrid
Vermiglio (VOSE),,119,03,16:30,2025-02-28,Golem Madrid
Aún estoy aquí (VOSE),,138,04,19:00,2025-02-28,Golem Madrid
Mi Única familia (Hard Truths) (VOSE),,97,05,18:15,2025-02-28,Golem Madrid
Mi Única familia (Hard Truths) (VOSE),,97,05,22:30,2025-02-28,Golem Madrid
Mi Única familia (Hard Truths) (VOSE),,97,05,16:10,2025-02-28,Golem Madrid
Nosotros,,94,01,16:30,2025-02-28,Golem Madrid
A Complete Unknown (VOSE),,140,02,19:00,2025-02-28,Golem Madrid
Anora (VOSE),,139,03,19:00,2025-02-28,Golem Madrid
A Complete Unknown (VOSE),,140,02,16:15,2025-02-28,Golem Madrid
The Brutalist (VOSE),,214,01,18:30,2025-02-28,Golem Madrid
Cónclave (VOSE),,120,03,21:45,2025-02-28,Golem Madrid
A Complete Unknown (VOSE),,140,02,21:45,2025-02-28,Golem Madrid
Aún estoy aquí (VOSE),,138,04,21:45,2025-03-01,Golem Madrid
Mi Única familia (Hard Truths) (VOSE),,97,05,18:15,2025-03-01,Golem Madrid
Mi Única familia (Hard Truths) (VOSE),,97,05,20:20,2025-03-01,Golem Madrid
Nosotros,,94,01,22:30,2025-03-01,Golem Madrid
The Brutalist (VOSE),,214,01,18:30,2025-03-01,Golem Madrid
A Complete Unknown (VOSE),,140,02,16:15,2025-03-01,Golem Madrid
A Complete Unknown (VOSE),,140,02,21:45,2025-03-01,Golem Madrid
A Complete Unknown (VOSE),,140,02,19:00,2025-03-01,Golem Madrid
Nosotros,,94,01,16:30,2025-03-01,Golem Madrid
Aún estoy aquí (VOSE),,138,04,19:00,2025-03-01,Golem Madrid
Vermiglio (VOSE),,119,03,16:30,2025-03-01,Golem Madrid
Anora (VOSE),,139,03,19:00,2025-03-01,Golem Madrid
Mi Única familia (Hard Truths) (VOSE),,97,05,22:30,2025-03-01,Golem Madrid
Mi Única familia (Hard Truths) (VOSE),,97,05,16:10,2025-03-01,Golem Madrid
Cónclave (VOSE),,120,03,21:45,2025-03-01,Golem Madrid
Aún estoy aquí (VOSE),,138,04,16:15,2025-03-01,Golem Madrid
A Complete Unknown (VOSE),,140,02,19:00,2025-03-02,Golem Madrid
Aún estoy aquí (VOSE),,138,04,21:45,2025-03-02,Golem Madrid
Aún estoy aquí (VOSE),,138,04,16:15,2025-03-02,Golem Madrid
Mi Única familia (Hard Truths) (VOSE),,97,05,22:30,2025-03-02,Golem Madrid
The Brutalist (VOSE),,214,01,18:30,2025-03-02,Golem Madrid
A Complete Unknown (VOSE),,140,02,16:15,2025-03-02,Golem Madrid
Mi Única familia (Hard Truths) (VOSE),,97,05,18:15,2025-03-02,Golem Madrid
Vermiglio (VOSE),,119,03,16:30,2025-03-02,Golem Madrid
Cónclave (VOSE),,120,03,21:45,2025-03-02,Golem Madrid
Anora (VOSE),,139,03,19:00,2025-03-02,Golem Madrid
Nosotros,,94,01,16:30,2025-03-02,Golem Madrid
A Complete Unknown (VOSE),,140,02,21:45,2025-03-02,Golem Madrid
Aún estoy aquí (VOSE),,138,04,19:00,2025-03-02,Golem Madrid
Mi Única familia (Hard Truths) (VOSE),,97,05,20:20,2025-03-02,Golem Madrid
Nosotros,,94,01,22:30,2025-03-02,Golem Madrid
Mi Única familia (Hard Truths) (VOSE),,97,05,16:10,2025-03-02,Golem Madrid
Mi Única familia (Hard Truths) (VOSE),,97,05,18:15,2025-03-03,Golem Madrid
Aún estoy aquí (VOSE),,138,04,21:45,2025-03-03,Golem Madrid
A Complete Unknown (VOSE),,140,02,21:45,2025-03-03,Golem Madrid
A Complete Unknown (VOSE),,140,02,19:00,2025-03-03,Golem Madrid
Mi Única familia (Hard Truths) (VOSE),,97,05,20:20,2025-03-03,Golem Madrid
Nosotros,,94,01,16:30,2025-03-03,Golem Madrid
Mi Única familia (Hard Truths) (VOSE),,97,05,22:30,2025-03-03,Golem Madrid
Nosotros,,94,01,22:30,2025-03-03,Golem Madrid
The Brutalist (VOSE),,214,01,18:30,2025-03-03,Golem Madrid
A Complete Unknown (VOSE),,140,02,16:15,2025-03-03,Golem Madrid
Aún estoy aquí (VOSE),,138,04,16:15,2025-03-03,Golem Madrid
Aún estoy aquí (VOSE),,138,04,19:00,2025-03-03,Golem Madrid
Anora (VOSE),,139,03,19:00,2025-03-03,Golem Madrid
Vermiglio (VOSE),,119,03,16:30,2025-03-03,Golem Madrid
Mi Única familia (Hard Truths) (VOSE),,97,05,16:10,2025-03-03,Golem Madrid
