Pelicula,Director,Duración,Sala,Horario,Fecha,Cine
La semilla de la higuera sagrada (VOSE),,166,03,16:15,2025-02-22,Golem Madrid
Aún estoy aquí (VOSE),,138,02,21:45,2025-02-22,Golem Madrid
María Callas (VOSE),,123,03,19:30,2025-02-22,Golem Madrid
La tutoría (Armand) (VOSE),,117,03,22:00,2025-02-22,Golem Madrid
Aún estoy aquí (VOSE),,138,02,19:00,2025-02-22,Golem Madrid
Vermiglio (VOSE),,119,05,16:10,2025-02-22,Golem Madrid
The Brutalist (VOSE),,214,05,18:30,2025-02-22,Golem Madrid
A Real Pain (VOSE),,89,04,22:30,2025-02-22,Golem Madrid
Anora (VOSE),,139,01,19:00,2025-02-22,Golem Madrid
Aún estoy aquí (VOSE),,138,02,16:15,2025-02-22,Golem Madrid
La tutoría (Armand) (VOSE),,117,01,16:30,2025-02-22,Golem Madrid
Vermiglio (VOSE),,119,04,20:10,2025-02-22,Golem Madrid
The Brutalist (VOSE),,214,04,16:15,2025-02-22,Golem Madrid
Cónclave (VOSE),,120,01,21:45,2025-02-22,Golem Madrid
Las vidas de Sing Sing (VOSE),,107,05,22:15,2025-02-22,Golem Madrid
La tutoría (Armand) (VOSE),,117,03,22:00,2025-02-23,Golem Madrid
Anora (VOSE),,139,01,19:00,2025-02-23,Golem Madrid
Vermiglio (VOSE),,119,05,16:10,2025-02-23,Golem Madrid
Aún estoy aquí (VOSE),,138,02,16:15,2025-02-23,Golem Madrid
La semilla de la higuera sagrada (VOSE),,166,03,16:15,2025-02-23,Golem Madrid
La tutoría (Armand) (VOSE),,117,01,16:30,2025-02-23,Golem Madrid
Las vidas de Sing Sing (VOSE),,107,05,22:15,2025-02-23,Golem Madrid
Aún estoy aquí (VOSE),,138,02,21:45,2025-02-23,Golem Madrid
The Brutalist (VOSE),,214,05,18:30,2025-02-23,Golem Madrid
A Real Pain (VOSE),,89,04,22:30,2025-02-23,Golem Madrid
The Brutalist (VOSE),,214,04,16:15,2025-02-23,Golem Madrid
Cónclave (VOSE),,120,01,21:45,2025-02-23,Golem Madrid
Aún estoy aquí (VOSE),,138,02,19:00,2025-02-23,Golem Madrid
Vermiglio (VOSE),,119,04,20:10,2025-02-23,Golem Madrid
María Callas (VOSE),,123,03,19:30,2025-02-23,Golem Madrid
Cónclave (VOSE),,120,01,21:45,2025-02-24,Golem Madrid
Vermiglio (VOSE),,119,05,16:10,2025-02-24,Golem Madrid
The Brutalist (VOSE),,214,04,16:15,2025-02-24,Golem Madrid
La semilla de la higuera sagrada (VOSE),,166,03,16:15,2025-02-24,Golem Madrid
Aún estoy aquí (VOSE),,138,02,21:45,2025-02-24,Golem Madrid
La tutoría (Armand) (VOSE),,117,01,16:30,2025-02-24,Golem Madrid
La tutoría (Armand) (VOSE),,117,03,22:00,2025-02-24,Golem Madrid
Vermiglio (VOSE),,119,04,20:10,2025-02-24,Golem Madrid
The Brutalist (VOSE),,214,05,18:30,2025-02-24,Golem Madrid
Aún estoy aquí (VOSE),,138,02,19:00,2025-02-24,Golem Madrid
María Callas (VOSE),,123,03,19:30,2025-02-24,Golem Madrid
A Real Pain (VOSE),,89,04,22:30,2025-02-24,Golem Madrid
Anora (VOSE),,139,01,19:00,2025-02-24,Golem Madrid
Las vidas de Sing Sing (VOSE),,107,05,22:15,2025-02-24,Golem Madrid
Aún estoy aquí (VOSE),,138,02,16:15,2025-02-24,Golem Madrid
Las vidas de Sing Sing (VOSE),,107,05,22:15,2025-02-25,Golem Madrid
Cónclave (VOSE),,120,01,21:45,2025-02-25,Golem Madrid
María Callas (VOSE),,123,03,19:30,2025-02-25,Golem Madrid
La semilla de la higuera sagrada (VOSE),,166,03,16:15,2025-02-25,Golem Madrid
Anora (VOSE),,139,01,19:00,2025-02-25,Golem Madrid
Vermiglio (VOSE),,119,05,16:10,2025-02-25,Golem Madrid
Aún estoy aquí (VOSE),,138,04,19:00,2025-02-25,Golem Madrid
Aún estoy aquí (VOSE),,138,04,16:15,2025-02-25,Golem Madrid
Aún estoy aquí (VOSE),,138,04,21:45,2025-02-25,Golem Madrid
La tutoría (Armand) (VOSE),,117,03,22:00,2025-02-25,Golem Madrid
The Brutalist (VOSE),,214,05,18:30,2025-02-25,Golem Madrid
A Real Pain (VOSE),,89,02,22:30,2025-02-25,Golem Madrid
The Brutalist (VOSE),,214,02,16:15,2025-02-25,Golem Madrid
La tutoría (Armand) (VOSE),,117,01,16:30,2025-02-25,Golem Madrid
María Callas (VOSE),,123,03,19:30,2025-02-26,Golem Madrid
Vermiglio (VOSE),,119,04,20:10,2025-02-26,Golem Madrid
Aún estoy aquí (VOSE),,138,02,19:00,2025-02-26,Golem Madrid
The Brutalist (VOSE),,214,04,16:15,2025-02-26,Golem Madrid
A Real Pain (VOSE),,89,04,22:30,2025-02-26,Golem Madrid
The Brutalist (VOSE),,214,05,18:30,2025-02-26,Golem Madrid
Cónclave (VOSE),,120,01,21:45,2025-02-26,Golem Madrid
Las vidas de Sing Sing (VOSE),,107,05,22:15,2025-02-26,Golem Madrid
La tutoría (Armand) (VOSE),,117,03,22:00,2025-02-26,Golem Madrid
Vermiglio (VOSE),,119,05,16:10,2025-02-26,Golem Madrid
Anora (VOSE),,139,01,19:00,2025-02-26,Golem Madrid
Aún estoy aquí (VOSE),,138,02,21:45,2025-02-26,Golem Madrid
La tutoría (Armand) (VOSE),,117,01,16:30,2025-02-26,Golem Madrid
Aún estoy aquí (VOSE),,138,02,16:15,2025-02-26,Golem Madrid
La semilla de la higuera sagrada (VOSE),,166,03,16:15,2025-02-26,Golem Madrid
Aún estoy aquí (VOSE),,138,02,19:00,2025-02-27,Golem Madrid
María Callas (VOSE),,123,03,19:30,2025-02-27,Golem Madrid
The Brutalist (VOSE),,214,04,16:15,2025-02-27,Golem Madrid
Vermiglio (VOSE),,119,04,20:10,2025-02-27,Golem Madrid
Aún estoy aquí (VOSE),,138,02,21:45,2025-02-27,Golem Madrid
Las vidas de Sing Sing (VOSE),,107,05,22:15,2025-02-27,Golem Madrid
La tutoría (Armand) (VOSE),,117,01,16:30,2025-02-27,Golem Madrid
A Real Pain (VOSE),,89,04,22:30,2025-02-27,Golem Madrid
The Brutalist (VOSE),,214,05,18:30,2025-02-27,Golem Madrid
La semilla de la higuera sagrada (VOSE),,166,03,16:15,2025-02-27,Golem Madrid
Cónclave (VOSE),,120,01,21:45,2025-02-27,Golem Madrid
Vermiglio (VOSE),,119,05,16:10,2025-02-27,Golem Madrid
La tutoría (Armand) (VOSE),,117,03,22:00,2025-02-27,Golem Madrid
Anora (VOSE),,139,01,19:00,2025-02-27,Golem Madrid
Aún estoy aquí (VOSE),,138,02,16:15,2025-02-27,Golem Madrid
