Pelicula,Director,Duración,Sala,Horario,Fecha,Cine
Los Domingos,,,01,21:30,2026-01-04,Golem Madrid
Father Mother Sister Brother (VOSE),,,02,22:00,2026-01-04,Golem Madrid
Kontinental '25 (VOSE),,,03,21:30,2026-01-04,Golem Madrid
Valor sentimental (VOSE),,,05,22:00,2026-01-04,Golem Madrid
Father Mother Sister Brother (VOSE),,,02,19:30,2026-01-04,Golem Madrid
El extranjero (VOSE),,,04,22:00,2026-01-04,Golem Madrid
El sendero azul (VOSE),,,03,19:30,2026-01-04,Golem Madrid
Ariel,,,01,19:00,2026-01-05,Golem Madrid
Father Mother Sister Brother (VOSE),,,02,22:00,2026-01-05,Golem Madrid
Sirat,,,05,16:30,2026-01-05,Golem Madrid
Ariel,,,03,17:00,2026-01-05,Golem Madrid
El extranjero (VOSE),,,04,16:30,2026-01-05,Golem Madrid
Kontinental '25 (VOSE),,,03,21:30,2026-01-05,Golem Madrid
Los Domingos,,,01,21:30,2026-01-05,Golem Madrid
Los Domingos,,,01,16:30,2026-01-05,Golem Madrid
El sendero azul (VOSE),,,03,19:30,2026-01-05,Golem Madrid
Father Mother Sister Brother (VOSE),,,02,19:30,2026-01-05,Golem Madrid
Nuremberg (VOSE),,,04,19:00,2026-01-05,Golem Madrid
Valor sentimental (VOSE),,,05,19:00,2026-01-05,Golem Madrid
Valor sentimental (VOSE),,,05,22:00,2026-01-05,Golem Madrid
El extranjero (VOSE),,,04,22:00,2026-01-05,Golem Madrid
Father Mother Sister Brother (VOSE),,,02,17:00,2026-01-05,Golem Madrid
El extranjero (VOSE),,,04,22:00,2026-01-06,Golem Madrid
El sendero azul (VOSE),,,03,19:30,2026-01-06,Golem Madrid
El extranjero (VOSE),,,04,16:30,2026-01-06,Golem Madrid
Los Domingos,,,01,16:30,2026-01-06,Golem Madrid
Father Mother Sister Brother (VOSE),,,02,17:00,2026-01-06,Golem Madrid
Valor sentimental (VOSE),,,05,22:00,2026-01-06,Golem Madrid
Los Domingos,,,01,21:30,2026-01-06,Golem Madrid
Ariel,,,01,19:00,2026-01-06,Golem Madrid
Father Mother Sister Brother (VOSE),,,02,22:00,2026-01-06,Golem Madrid
Sirat,,,05,16:30,2026-01-06,Golem Madrid
Valor sentimental (VOSE),,,05,19:00,2026-01-06,Golem Madrid
Nuremberg (VOSE),,,04,19:00,2026-01-06,Golem Madrid
Kontinental '25 (VOSE),,,03,21:30,2026-01-06,Golem Madrid
Ariel,,,03,17:00,2026-01-06,Golem Madrid
Father Mother Sister Brother (VOSE),,,02,19:30,2026-01-06,Golem Madrid
Father Mother Sister Brother (VOSE),,,02,17:00,2026-01-07,Golem Madrid
El sendero azul (VOSE),,,03,19:30,2026-01-07,Golem Madrid
Kontinental '25 (VOSE),,,03,21:30,2026-01-07,Golem Madrid
Valor sentimental (VOSE),,,05,22:00,2026-01-07,Golem Madrid
Nuremberg (VOSE),,,04,19:00,2026-01-07,Golem Madrid
Ariel,,,03,17:00,2026-01-07,Golem Madrid
Sirat,,,05,16:30,2026-01-07,Golem Madrid
Valor sentimental (VOSE),,,05,19:00,2026-01-07,Golem Madrid
El extranjero (VOSE),,,04,16:30,2026-01-07,Golem Madrid
Los Domingos,,,01,16:30,2026-01-07,Golem Madrid
Ariel,,,01,19:00,2026-01-07,Golem Madrid
Father Mother Sister Brother (VOSE),,,02,22:00,2026-01-07,Golem Madrid
Los Domingos,,,01,21:30,2026-01-07,Golem Madrid
El extranjero (VOSE),,,04,22:00,2026-01-07,Golem Madrid
Father Mother Sister Brother (VOSE),,,02,19:30,2026-01-07,Golem Madrid
Father Mother Sister Brother (VOSE),,,02,19:30,2026-01-08,Golem Madrid
Nuremberg (VOSE),,,04,19:00,2026-01-08,Golem Madrid
El extranjero (VOSE),,,04,22:00,2026-01-08,Golem Madrid
Kontinental '25 (VOSE),,,03,21:30,2026-01-08,Golem Madrid
Los Domingos,,,01,16:30,2026-01-08,Golem Madrid
Father Mother Sister Brother (VOSE),,,02,17:00,2026-01-08,Golem Madrid
Ariel,,,03,17:00,2026-01-08,Golem Madrid
El extranjero (VOSE),,,04,16:30,2026-01-08,Golem Madrid
Los Domingos,,,01,21:30,2026-01-08,Golem Madrid
El sendero azul (VOSE),,,03,19:30,2026-01-08,Golem Madrid
Sirat,,,05,16:30,2026-01-08,Golem Madrid
Valor sentimental (VOSE),,,05,22:00,2026-01-08,Golem Madrid
Valor sentimental (VOSE),,,05,19:00,2026-01-08,Golem Madrid
Ariel,,,01,19:00,2026-01-08,Golem Madrid
Father Mother Sister Brother (VOSE),,,02,22:00,2026-01-08,Golem Madrid
