Pelicula,Director,Duración,Sala,Horario,Fecha,Cine
The Brutalist (VOSE),,214,03,18:30,2025-03-11,Golem Madrid
Mickey 17 (VOSE),,136,02,19:15,2025-03-11,Golem Madrid
Grand Tour (VOSE),,128,01,19:00,2025-03-11,Golem Madrid
Anora (VOSE),,139,04,16:15,2025-03-11,Golem Madrid
Mickey 17 (VOSE),,136,02,22:00,2025-03-11,Golem Madrid
Mickey 17 (VOSE),,136,02,16:30,2025-03-11,Golem Madrid
A Complete Unknown (VOSE),,140,05,21:45,2025-03-11,Golem Madrid
Mi Única familia (Hard Truths) (VOSE),,97,03,16:30,2025-03-11,Golem Madrid
Anora (VOSE),,139,01,21:45,2025-03-11,Golem Madrid
Mi Única familia (Hard Truths) (VOSE),,97,03,22:30,2025-03-11,Golem Madrid
Grand Tour (VOSE),,128,01,16:15,2025-03-11,Golem Madrid
Aún estoy aquí (VOSE),,138,04,19:00,2025-03-11,Golem Madrid
A Complete Unknown (VOSE),,140,05,19:00,2025-03-11,Golem Madrid
Aún estoy aquí (VOSE),,138,04,21:45,2025-03-11,Golem Madrid
A Complete Unknown (VOSE),,140,05,16:15,2025-03-11,Golem Madrid
A Complete Unknown (VOSE),,140,05,16:15,2025-03-12,Golem Madrid
The Brutalist (VOSE),,214,03,18:30,2025-03-12,Golem Madrid
Mickey 17 (VOSE),,136,02,22:00,2025-03-12,Golem Madrid
Mickey 17 (VOSE),,136,02,19:15,2025-03-12,Golem Madrid
Mi Única familia (Hard Truths) (VOSE),,97,03,22:30,2025-03-12,Golem Madrid
Anora (VOSE),,139,01,21:45,2025-03-12,Golem Madrid
Grand Tour (VOSE),,128,01,16:15,2025-03-12,Golem Madrid
A Complete Unknown (VOSE),,140,05,21:45,2025-03-12,Golem Madrid
A Complete Unknown (VOSE),,140,05,19:00,2025-03-12,Golem Madrid
Grand Tour (VOSE),,128,01,19:00,2025-03-12,Golem Madrid
Mi Única familia (Hard Truths) (VOSE),,97,03,16:30,2025-03-12,Golem Madrid
Aún estoy aquí (VOSE),,138,04,21:45,2025-03-12,Golem Madrid
Aún estoy aquí (VOSE),,138,04,19:00,2025-03-12,Golem Madrid
Mickey 17 (VOSE),,136,02,16:30,2025-03-12,Golem Madrid
Anora (VOSE),,139,04,16:15,2025-03-12,Golem Madrid
A Complete Unknown (VOSE),,140,05,16:15,2025-03-13,Golem Madrid
A Complete Unknown (VOSE),,140,05,19:00,2025-03-13,Golem Madrid
Mi Única familia (Hard Truths) (VOSE),,97,03,16:30,2025-03-13,Golem Madrid
Mi Única familia (Hard Truths) (VOSE),,97,03,22:30,2025-03-13,Golem Madrid
The Brutalist (VOSE),,214,03,18:30,2025-03-13,Golem Madrid
Anora (VOSE),,139,04,16:15,2025-03-13,Golem Madrid
Aún estoy aquí (VOSE),,138,04,19:00,2025-03-13,Golem Madrid
Aún estoy aquí (VOSE),,138,04,21:45,2025-03-13,Golem Madrid
Mickey 17 (VOSE),,136,02,22:00,2025-03-13,Golem Madrid
Grand Tour (VOSE),,128,01,16:15,2025-03-13,Golem Madrid
Anora (VOSE),,139,01,21:45,2025-03-13,Golem Madrid
Grand Tour (VOSE),,128,01,19:00,2025-03-13,Golem Madrid
Mickey 17 (VOSE),,136,02,19:15,2025-03-13,Golem Madrid
Mickey 17 (VOSE),,136,02,16:30,2025-03-13,Golem Madrid
A Complete Unknown (VOSE),,140,05,21:45,2025-03-13,Golem Madrid
