Pelicula,Director,Duración,Sala,Horario,Fecha,Cine
Springsteen: Deliver Me From Nowhere (VOSE),,,03,21:30,2025-11-16,Golem Madrid
Los Domingos,,,05,19:30,2025-11-16,Golem Madrid
Siempre es invierno,,,04,19:30,2025-11-16,Golem Madrid
Bugonia (VOSE),,,02,19:30,2025-11-16,Golem Madrid
Los Domingos,,,05,22:00,2025-11-16,Golem Madrid
Bugonia (VOSE),,,02,22:00,2025-11-16,Golem Madrid
Una batalla tras otra (VOSE),,,01,20:15,2025-11-16,Golem Madrid
Monsieur Aznavour (VOSE),,,03,19:00,2025-11-16,Golem Madrid
Siempre es invierno,,,04,22:00,2025-11-16,Golem Madrid
No estás loca,,,01,18:15,2025-11-16,Golem Madrid
Siempre es invierno,,,01,22:00,2025-11-17,Golem Madrid
Los Domingos,,,05,22:00,2025-11-17,Golem Madrid
Una batalla tras otra (VOSE),,,04,20:15,2025-11-17,Golem Madrid
Siempre es invierno,,,01,17:00,2025-11-17,Golem Madrid
Los Domingos,,,05,16:30,2025-11-17,Golem Madrid
No estás loca,,,04,18:15,2025-11-17,Golem Madrid
QueerCineMad: Enzo (VOSE),,,02,22:00,2025-11-17,Golem Madrid
Bugonia (VOSE),,,02,16:30,2025-11-17,Golem Madrid
Monsieur Aznavour (VOSE),,,03,19:00,2025-11-17,Golem Madrid
Popel (VOSE),,,03,17:00,2025-11-17,Golem Madrid
Springsteen: Deliver Me From Nowhere (VOSE),,,03,21:30,2025-11-17,Golem Madrid
Un simple accidente (VOSE),,,04,16:10,2025-11-17,Golem Madrid
Bugonia (VOSE),,,02,19:30,2025-11-17,Golem Madrid
Los Domingos,,,05,19:30,2025-11-17,Golem Madrid
Bugonia (VOSE),,,02,16:30,2025-11-18,Golem Madrid
No estás loca,,,01,18:15,2025-11-18,Golem Madrid
QueerCineMad: Painclothes (VOSE),,,02,22:00,2025-11-18,Golem Madrid
Popel (VOSE),,,03,17:00,2025-11-18,Golem Madrid
Bugonia (VOSE),,,04,22:00,2025-11-18,Golem Madrid
Siempre es invierno,,,04,17:00,2025-11-18,Golem Madrid
Springsteen: Deliver Me From Nowhere (VOSE),,,03,21:30,2025-11-18,Golem Madrid
Un simple accidente (VOSE),,,01,16:10,2025-11-18,Golem Madrid
Los Domingos,,,05,22:00,2025-11-18,Golem Madrid
Una batalla tras otra (VOSE),,,01,20:15,2025-11-18,Golem Madrid
Los Domingos,,,05,16:30,2025-11-18,Golem Madrid
Los Domingos,,,05,19:30,2025-11-18,Golem Madrid
Monsieur Aznavour (VOSE),,,03,19:00,2025-11-18,Golem Madrid
Siempre es invierno,,,04,19:30,2025-11-18,Golem Madrid
Los Domingos,,,05,16:30,2025-11-19,Golem Madrid
Los Domingos,,,05,19:30,2025-11-19,Golem Madrid
Popel (VOSE),,,03,17:00,2025-11-19,Golem Madrid
Un simple accidente (VOSE),,,01,16:10,2025-11-19,Golem Madrid
Bugonia (VOSE),,,02,19:30,2025-11-19,Golem Madrid
Siempre es invierno,,,04,19:30,2025-11-19,Golem Madrid
Siempre es invierno,,,04,17:00,2025-11-19,Golem Madrid
Monsieur Aznavour (VOSE),,,03,19:00,2025-11-19,Golem Madrid
Los Domingos,,,05,22:00,2025-11-19,Golem Madrid
Bugonia (VOSE),,,04,22:00,2025-11-19,Golem Madrid
QueerCineMad: Perro Perro,,,02,22:00,2025-11-19,Golem Madrid
No estás loca,,,01,18:15,2025-11-19,Golem Madrid
Bugonia (VOSE),,,02,16:30,2025-11-19,Golem Madrid
Una batalla tras otra (VOSE),,,01,20:15,2025-11-19,Golem Madrid
Springsteen: Deliver Me From Nowhere (VOSE),,,03,21:30,2025-11-19,Golem Madrid
Bugonia (VOSE),,,04,19:30,2025-11-20,Golem Madrid
Los Domingos,,,05,19:30,2025-11-20,Golem Madrid
QueerCineMad: Sandbag Dam + Alivios (VOSE),,,05,22:00,2025-11-20,Golem Madrid
Popel (VOSE),,,03,17:00,2025-11-20,Golem Madrid
Springsteen: Deliver Me From Nowhere (VOSE),,,03,21:30,2025-11-20,Golem Madrid
Siempre es invierno,,,04,17:00,2025-11-20,Golem Madrid
No estás loca,,,01,18:15,2025-11-20,Golem Madrid
Siempre es invierno,,,04,22:00,2025-11-20,Golem Madrid
Bugonia (VOSE),,,02,16:30,2025-11-20,Golem Madrid
Los Domingos,,,05,16:30,2025-11-20,Golem Madrid
Un simple accidente (VOSE),,,01,16:10,2025-11-20,Golem Madrid
Monsieur Aznavour (VOSE),,,03,19:00,2025-11-20,Golem Madrid
XXVI Ciclo Cine Foro: HLM Pussy (VOSE),,,02,19:00,2025-11-20,Golem Madrid
QueerCineMad: Sauna (VOSE),,,02,22:00,2025-11-21,Golem Madrid
QueerCineMad: Lesbian Space Princess (VOSE),,,02,22:00,2025-11-22,Golem Madrid
QueerCineMad: Apenas Coisas Boas (VOSE),,,02,20:00,2025-11-23,Golem Madrid
QueerCineMad: Perro Perro,,,02,22:00,2025-11-23,Golem Madrid
