Pelicula,Director,Duración,Sala,Horario,Fecha,Cine
Secretos de un crimen (VOSE),,126,04,22:00,2025-03-18,Golem Madrid
Anora (VOSE),,139,03,21:45,2025-03-18,Golem Madrid
A Complete Unknown (VOSE),,140,05,21:45,2025-03-18,Golem Madrid
Mickey 17 (VOSE),,136,01,21:45,2025-03-18,Golem Madrid
A Complete Unknown (VOSE),,140,05,21:45,2025-03-19,Golem Madrid
Mickey 17 (VOSE),,136,01,19:00,2025-03-19,Golem Madrid
Una ballena,,108,02,19:30,2025-03-19,Golem Madrid
Secretos de un crimen (VOSE),,126,02,17:00,2025-03-19,Golem Madrid
Mickey 17 (VOSE),,136,01,21:45,2025-03-19,Golem Madrid
Grand Tour (VOSE),,128,03,16:10,2025-03-19,Golem Madrid
A Complete Unknown (VOSE),,140,05,16:15,2025-03-19,Golem Madrid
Aún estoy aquí (VOSE),,138,03,19:00,2025-03-19,Golem Madrid
Secretos de un crimen (VOSE),,126,04,22:00,2025-03-19,Golem Madrid
Anora (VOSE),,139,03,21:45,2025-03-19,Golem Madrid
Secretos de un crimen (VOSE),,126,04,19:30,2025-03-19,Golem Madrid
Mickey 17 (VOSE),,136,04,16:15,2025-03-19,Golem Madrid
Anora (VOSE),,139,01,16:15,2025-03-19,Golem Madrid
A Complete Unknown (VOSE),,140,05,19:00,2025-03-19,Golem Madrid
Aún estoy aquí (VOSE),,138,04,19:00,2025-03-20,Golem Madrid
Grand Tour (VOSE),,128,03,16:10,2025-03-20,Golem Madrid
Secretos de un crimen (VOSE),,126,03,19:30,2025-03-20,Golem Madrid
Secretos de un crimen (VOSE),,126,04,22:00,2025-03-20,Golem Madrid
Secretos de un crimen (VOSE),,126,02,17:00,2025-03-20,Golem Madrid
Mickey 17 (VOSE),,136,01,19:00,2025-03-20,Golem Madrid
Anora (VOSE),,139,01,16:15,2025-03-20,Golem Madrid
A Complete Unknown (VOSE),,140,05,21:45,2025-03-20,Golem Madrid
Anora (VOSE),,139,03,21:45,2025-03-20,Golem Madrid
A Complete Unknown (VOSE),,140,05,16:15,2025-03-20,Golem Madrid
Mickey 17 (VOSE),,136,01,21:45,2025-03-20,Golem Madrid
A Complete Unknown (VOSE),,140,05,19:00,2025-03-20,Golem Madrid
Mickey 17 (VOSE),,136,04,16:15,2025-03-20,Golem Madrid
A Complete Unknown (VOSE),,140,05,19:00,2025-03-21,Golem Madrid
Mickey 17 (VOSE),,136,01,21:00,2025-03-21,Golem Madrid
Mickey 17 (VOSE),,136,01,18:15,2025-03-21,Golem Madrid
Aún estoy aquí (VOSE),,138,04,16:45,2025-03-21,Golem Madrid
A Complete Unknown (VOSE),,140,05,21:45,2025-03-21,Golem Madrid
Los aitas,,88,02,20:30,2025-03-21,Golem Madrid
Todos lo sabían,,99,03,22:15,2025-03-21,Golem Madrid
Los aitas,,88,02,18:15,2025-03-21,Golem Madrid
Los aitas,,88,02,16:15,2025-03-21,Golem Madrid
Secretos de un crimen (VOSE),,126,04,22:00,2025-03-21,Golem Madrid
The Brutalist (VOSE),,214,03,18:15,2025-03-21,Golem Madrid
"Wilding, el regreso de la naturaleza (VOSE)",,75,01,16:30,2025-03-21,Golem Madrid
Todos lo sabían,,99,03,16:10,2025-03-21,Golem Madrid
Los aitas,,88,02,22:30,2025-03-21,Golem Madrid
Secretos de un crimen (VOSE),,126,05,16:30,2025-03-21,Golem Madrid
Secretos de un crimen (VOSE),,126,04,19:30,2025-03-21,Golem Madrid
"Wilding, el regreso de la naturaleza (VOSE)",,75,01,16:30,2025-03-22,Golem Madrid
Mickey 17 (VOSE),,136,01,21:00,2025-03-22,Golem Madrid
"Aula FilmFest: Zog, dragones y heroínas",,26,01,13:00,2025-03-22,Golem Madrid
Secretos de un crimen (VOSE),,126,05,16:30,2025-03-22,Golem Madrid
A Complete Unknown (VOSE),,140,05,19:00,2025-03-22,Golem Madrid
Aún estoy aquí (VOSE),,138,04,16:45,2025-03-22,Golem Madrid
Aula FilmFest: Azur y Asmar (VOSE),,99,03,12:00,2025-03-22,Golem Madrid
Todos lo sabían,,99,03,22:15,2025-03-22,Golem Madrid
Todos lo sabían,,99,03,16:10,2025-03-22,Golem Madrid
The Brutalist (VOSE),,214,03,18:15,2025-03-22,Golem Madrid
"Aula FilmFest: Zog, dragones y heroínas",,26,01,11:00,2025-03-22,Golem Madrid
Los aitas,,88,02,16:15,2025-03-22,Golem Madrid
"Aula FilmFest: Zog, dragones y heroínas",,26,04,13:30,2025-03-22,Golem Madrid
"Aula FilmFest: Zog, dragones y heroínas",,26,01,14:00,2025-03-22,Golem Madrid
Secretos de un crimen (VOSE),,126,04,19:30,2025-03-22,Golem Madrid
"Aula FilmFest: Zog, dragones y heroínas",,26,04,12:30,2025-03-22,Golem Madrid
Secretos de un crimen (VOSE),,126,04,22:00,2025-03-22,Golem Madrid
Los aitas,,88,02,20:30,2025-03-22,Golem Madrid
Los aitas,,88,02,22:30,2025-03-22,Golem Madrid
"Aula FilmFest: Zog, dragones y heroínas",,26,01,12:00,2025-03-22,Golem Madrid
Los aitas,,88,02,18:15,2025-03-22,Golem Madrid
Aula FilmFest: Mi vida a lo grande (Living large) (VOSE),,80,02,11:30,2025-03-22,Golem Madrid
AulaFilm Fest: Dersu Uzala (VOSE),,144,05,12:00,2025-03-22,Golem Madrid
"Aula FilmFest: Zog, dragones y heroínas",,26,04,11:30,2025-03-22,Golem Madrid
Mickey 17 (VOSE),,136,01,18:15,2025-03-22,Golem Madrid
A Complete Unknown (VOSE),,140,05,21:45,2025-03-22,Golem Madrid
Secretos de un crimen (VOSE),,126,04,19:30,2025-03-23,Golem Madrid
Todos lo sabían,,99,03,16:10,2025-03-23,Golem Madrid
A Complete Unknown (VOSE),,140,05,21:45,2025-03-23,Golem Madrid
Los aitas,,88,02,22:30,2025-03-23,Golem Madrid
Los aitas,,88,02,16:15,2025-03-23,Golem Madrid
Secretos de un crimen (VOSE),,126,04,22:00,2025-03-23,Golem Madrid
Mickey 17 (VOSE),,136,01,21:00,2025-03-23,Golem Madrid
The Brutalist (VOSE),,214,03,18:15,2025-03-23,Golem Madrid
Todos lo sabían,,99,03,22:15,2025-03-23,Golem Madrid
Aún estoy aquí (VOSE),,138,04,16:45,2025-03-23,Golem Madrid
Los aitas,,88,02,18:15,2025-03-23,Golem Madrid
A Complete Unknown (VOSE),,140,05,19:00,2025-03-23,Golem Madrid
Los aitas,,88,02,20:30,2025-03-23,Golem Madrid
Secretos de un crimen (VOSE),,126,05,16:30,2025-03-23,Golem Madrid
"Wilding, el regreso de la naturaleza (VOSE)",,75,01,16:30,2025-03-23,Golem Madrid
Mickey 17 (VOSE),,136,01,18:15,2025-03-23,Golem Madrid
Los aitas,,88,02,16:15,2025-03-24,Golem Madrid
A Complete Unknown (VOSE),,140,05,19:00,2025-03-24,Golem Madrid
Los aitas,,88,02,20:30,2025-03-24,Golem Madrid
"Wilding, el regreso de la naturaleza (VOSE)",,75,01,16:30,2025-03-24,Golem Madrid
Secretos de un crimen (VOSE),,126,04,22:00,2025-03-24,Golem Madrid
Todos lo sabían,,99,03,16:10,2025-03-24,Golem Madrid
Los aitas,,88,02,18:15,2025-03-24,Golem Madrid
Mickey 17 (VOSE),,136,01,18:15,2025-03-24,Golem Madrid
A Complete Unknown (VOSE),,140,05,21:45,2025-03-24,Golem Madrid
Los aitas,,88,02,22:30,2025-03-24,Golem Madrid
Aún estoy aquí (VOSE),,138,04,16:45,2025-03-24,Golem Madrid
The Brutalist (VOSE),,214,03,18:15,2025-03-24,Golem Madrid
Todos lo sabían,,99,03,22:15,2025-03-24,Golem Madrid
Secretos de un crimen (VOSE),,126,04,19:30,2025-03-24,Golem Madrid
Mickey 17 (VOSE),,136,01,21:00,2025-03-24,Golem Madrid
Secretos de un crimen (VOSE),,126,05,16:30,2025-03-24,Golem Madrid
"Wilding, el regreso de la naturaleza (VOSE)",,75,01,16:30,2025-03-25,Golem Madrid
Los aitas,,88,05,18:15,2025-03-25,Golem Madrid
Los aitas,,88,05,20:30,2025-03-25,Golem Madrid
Todos lo sabían,,99,03,22:15,2025-03-25,Golem Madrid
A Complete Unknown (VOSE),,140,01,21:45,2025-03-25,Golem Madrid
Secretos de un crimen (VOSE),,126,04,19:30,2025-03-25,Golem Madrid
Aún estoy aquí (VOSE),,138,04,16:45,2025-03-25,Golem Madrid
Mickey 17 (VOSE),,136,03,18:15,2025-03-25,Golem Madrid
Secretos de un crimen (VOSE),,126,04,22:00,2025-03-25,Golem Madrid
Los aitas,,88,05,16:15,2025-03-25,Golem Madrid
A Complete Unknown (VOSE),,140,01,19:00,2025-03-25,Golem Madrid
Secretos de un crimen (VOSE),,126,02,16:30,2025-03-25,Golem Madrid
Los aitas,,88,05,22:30,2025-03-25,Golem Madrid
Todos lo sabían,,99,03,16:10,2025-03-25,Golem Madrid
