Pelicula,Director,Duración,Sala,Horario,Fecha,Cine
The Brutalist (VOSE),,214,05,20:30,2025-02-09,Golem Madrid
María Callas (VOSE),,123,02,22:00,2025-02-09,Golem Madrid
Emilia Pérez,,132,03,21:45,2025-02-09,Golem Madrid
A Real Pain (VOSE),,89,01,22:30,2025-02-09,Golem Madrid
Las vidas de Sing Sing (VOSE),,107,04,22:15,2025-02-09,Golem Madrid
Emilia Pérez,,132,03,21:45,2025-02-10,Golem Madrid
The Brutalist (VOSE),,214,05,20:30,2025-02-10,Golem Madrid
The Brutalist (VOSE),,214,05,16:30,2025-02-10,Golem Madrid
A Real Pain (VOSE),,89,01,22:30,2025-02-10,Golem Madrid
María Callas (VOSE),,123,02,19:30,2025-02-10,Golem Madrid
Las vidas de Sing Sing (VOSE),,107,04,22:15,2025-02-10,Golem Madrid
Cónclave (VOSE),,120,03,16:30,2025-02-10,Golem Madrid
A Real Pain (VOSE),,89,04,16:10,2025-02-10,Golem Madrid
Anora (VOSE),,139,03,19:00,2025-02-10,Golem Madrid
The Brutalist (VOSE),,214,04,18:15,2025-02-10,Golem Madrid
La semilla de la higuera sagrada (VOSE),,166,01,19:15,2025-02-10,Golem Madrid
María Callas (VOSE),,123,02,22:00,2025-02-10,Golem Madrid
María Callas (VOSE),,123,02,17:00,2025-02-10,Golem Madrid
La semilla de la higuera sagrada (VOSE),,166,01,16:10,2025-02-10,Golem Madrid
María Callas (VOSE),,123,02,17:00,2025-02-11,Golem Madrid
The Brutalist (VOSE),,214,05,16:30,2025-02-11,Golem Madrid
La semilla de la higuera sagrada (VOSE),,166,01,16:10,2025-02-11,Golem Madrid
Anora (VOSE),,139,03,19:00,2025-02-11,Golem Madrid
Las vidas de Sing Sing (VOSE),,107,04,22:15,2025-02-11,Golem Madrid
Emilia Pérez,,132,03,21:45,2025-02-11,Golem Madrid
La semilla de la higuera sagrada (VOSE),,166,01,19:15,2025-02-11,Golem Madrid
The Brutalist (VOSE),,214,05,20:30,2025-02-11,Golem Madrid
The Brutalist (VOSE),,214,04,18:15,2025-02-11,Golem Madrid
Cónclave (VOSE),,120,03,16:30,2025-02-11,Golem Madrid
María Callas (VOSE),,123,02,22:00,2025-02-11,Golem Madrid
María Callas (VOSE),,123,02,19:30,2025-02-11,Golem Madrid
A Real Pain (VOSE),,89,04,16:10,2025-02-11,Golem Madrid
A Real Pain (VOSE),,89,01,22:30,2025-02-11,Golem Madrid
La semilla de la higuera sagrada (VOSE),,166,01,16:10,2025-02-12,Golem Madrid
María Callas (VOSE),,123,02,19:30,2025-02-12,Golem Madrid
María Callas (VOSE),,123,02,22:00,2025-02-12,Golem Madrid
La semilla de la higuera sagrada (VOSE),,166,01,19:15,2025-02-12,Golem Madrid
A Real Pain (VOSE),,89,01,22:30,2025-02-12,Golem Madrid
María Callas (VOSE),,123,02,17:00,2025-02-12,Golem Madrid
The Brutalist (VOSE),,214,05,20:30,2025-02-12,Golem Madrid
The Brutalist (VOSE),,214,04,18:15,2025-02-12,Golem Madrid
A Real Pain (VOSE),,89,04,16:10,2025-02-12,Golem Madrid
Anora (VOSE),,139,03,19:00,2025-02-12,Golem Madrid
Las vidas de Sing Sing (VOSE),,107,04,22:15,2025-02-12,Golem Madrid
The Brutalist (VOSE),,214,05,16:30,2025-02-12,Golem Madrid
Emilia Pérez,,132,03,21:45,2025-02-12,Golem Madrid
Cónclave (VOSE),,120,03,16:30,2025-02-12,Golem Madrid
The Brutalist (VOSE),,214,05,16:30,2025-02-13,Golem Madrid
La tutoría (Armand) (VOSE),,117,02,19:30,2025-02-13,Golem Madrid
María Callas (VOSE),,123,01,19:30,2025-02-13,Golem Madrid
The Brutalist (VOSE),,214,04,18:15,2025-02-13,Golem Madrid
The Brutalist (VOSE),,214,05,20:30,2025-02-13,Golem Madrid
Anora (VOSE),,139,03,19:00,2025-02-13,Golem Madrid
Emilia Pérez,,132,03,21:45,2025-02-13,Golem Madrid
María Callas (VOSE),,123,01,22:00,2025-02-13,Golem Madrid
Las vidas de Sing Sing (VOSE),,107,04,22:15,2025-02-13,Golem Madrid
La semilla de la higuera sagrada (VOSE),,166,01,16:10,2025-02-13,Golem Madrid
María Callas (VOSE),,123,02,17:00,2025-02-13,Golem Madrid
A Real Pain (VOSE),,89,04,16:10,2025-02-13,Golem Madrid
Cónclave (VOSE),,120,03,16:30,2025-02-13,Golem Madrid
