Pelicula,Director,Duración,Sala,Horario,Fecha,Cine
Una ballena,,108,01,22:15,2025-04-07,Golem Madrid
Ghostlight (VOSE),,115,01,20:10,2025-04-07,Golem Madrid
Los aitas,,88,04,16:30,2025-04-07,Golem Madrid
The Brutalist (VOSE),,214,04,18:30,2025-04-07,Golem Madrid
Ghostlight (VOSE),,115,04,22:15,2025-04-07,Golem Madrid
Sorda,,99,02,22:30,2025-04-07,Golem Madrid
Ghostlight (VOSE),,115,05,16:30,2025-04-07,Golem Madrid
A Complete Unknown (VOSE),,140,05,21:45,2025-04-07,Golem Madrid
Secretos de un crimen (VOSE),,126,03,22:00,2025-04-07,Golem Madrid
Secretos de un crimen (VOSE),,126,03,19:30,2025-04-07,Golem Madrid
Sorda,,99,02,20:15,2025-04-07,Golem Madrid
Secretos de un crimen (VOSE),,126,03,17:00,2025-04-07,Golem Madrid
A Complete Unknown (VOSE),,140,05,19:00,2025-04-07,Golem Madrid
Sorda,,99,02,18:15,2025-04-07,Golem Madrid
Una ballena,,108,01,18:00,2025-04-07,Golem Madrid
Secretos de un crimen (VOSE),,126,03,22:00,2025-04-08,Golem Madrid
Ghostlight (VOSE),,115,01,20:10,2025-04-08,Golem Madrid
Secretos de un crimen (VOSE),,126,03,17:00,2025-04-08,Golem Madrid
A Complete Unknown (VOSE),,140,05,19:00,2025-04-08,Golem Madrid
A Complete Unknown (VOSE),,140,05,21:45,2025-04-08,Golem Madrid
The Brutalist (VOSE),,214,04,18:30,2025-04-08,Golem Madrid
Sorda,,99,02,20:15,2025-04-08,Golem Madrid
Secretos de un crimen (VOSE),,126,03,19:30,2025-04-08,Golem Madrid
Sorda,,99,02,18:15,2025-04-08,Golem Madrid
Ghostlight (VOSE),,115,05,16:30,2025-04-08,Golem Madrid
Sorda,,99,02,16:10,2025-04-08,Golem Madrid
Ghostlight (VOSE),,115,04,22:15,2025-04-08,Golem Madrid
Un hombre libre,,88,01,16:10,2025-04-08,Golem Madrid
Una ballena,,108,01,18:00,2025-04-08,Golem Madrid
Una ballena,,108,01,22:15,2025-04-08,Golem Madrid
Sorda,,99,02,22:30,2025-04-08,Golem Madrid
Los aitas,,88,04,16:30,2025-04-08,Golem Madrid
The Brutalist (VOSE),,214,04,18:30,2025-04-09,Golem Madrid
Ghostlight (VOSE),,115,02,16:30,2025-04-09,Golem Madrid
Sorda,,99,05,18:15,2025-04-09,Golem Madrid
Sorda,,99,05,20:15,2025-04-09,Golem Madrid
A Complete Unknown (VOSE),,140,03,22:00,2025-04-09,Golem Madrid
Ghostlight (VOSE),,115,01,20:10,2025-04-09,Golem Madrid
Una ballena,,108,01,22:15,2025-04-09,Golem Madrid
Secretos de un crimen (VOSE),,126,03,19:30,2025-04-09,Golem Madrid
Los aitas,,88,04,16:30,2025-04-09,Golem Madrid
Sorda,,99,05,16:10,2025-04-09,Golem Madrid
Secretos de un crimen (VOSE),,126,03,17:00,2025-04-09,Golem Madrid
Sorda,,99,05,22:30,2025-04-09,Golem Madrid
Una ballena,,108,01,18:00,2025-04-09,Golem Madrid
Un hombre libre,,88,01,16:10,2025-04-09,Golem Madrid
Ghostlight (VOSE),,115,04,22:15,2025-04-09,Golem Madrid
Secretos de un crimen (VOSE),,126,03,17:00,2025-04-10,Golem Madrid
Ghostlight (VOSE),,115,05,16:30,2025-04-10,Golem Madrid
Ghostlight (VOSE),,115,04,22:15,2025-04-10,Golem Madrid
Sorda,,99,02,22:30,2025-04-10,Golem Madrid
Sorda,,99,02,20:15,2025-04-10,Golem Madrid
Los aitas,,88,04,16:30,2025-04-10,Golem Madrid
A Complete Unknown (VOSE),,140,05,19:00,2025-04-10,Golem Madrid
Sorda,,99,02,18:15,2025-04-10,Golem Madrid
Una ballena,,108,01,22:15,2025-04-10,Golem Madrid
Una ballena,,108,01,18:00,2025-04-10,Golem Madrid
A Complete Unknown (VOSE),,140,05,21:45,2025-04-10,Golem Madrid
Secretos de un crimen (VOSE),,126,03,19:30,2025-04-10,Golem Madrid
Sorda,,99,02,16:10,2025-04-10,Golem Madrid
The Brutalist (VOSE),,214,04,18:30,2025-04-10,Golem Madrid
Secretos de un crimen (VOSE),,126,03,22:00,2025-04-10,Golem Madrid
Un hombre libre,,88,01,16:10,2025-04-10,Golem Madrid
Ghostlight (VOSE),,115,01,20:10,2025-04-10,Golem Madrid
