Pelicula,Director,Duración,Sala,Horario,Fecha,Cine
La viajera (VOSE),,90,05,22:15,2025-04-25,Golem Madrid
La isla de los faisanes (VOSE),,99,01,22:30,2025-04-25,Golem Madrid
Muy lejos,,100,04,22:15,2025-04-25,Golem Madrid
Sorda,,99,03,22:30,2025-04-25,Golem Madrid
Sorda,,99,05,16:15,2025-04-26,Golem Madrid
La viajera (VOSE),,90,05,20:15,2025-04-26,Golem Madrid
Sujo,,126,03,20:10,2025-04-26,Golem Madrid
La isla de los faisanes (VOSE),,99,01,18:15,2025-04-26,Golem Madrid
La isla de los faisanes (VOSE),,99,01,16:10,2025-04-26,Golem Madrid
La isla de los faisanes (VOSE),,99,01,22:30,2025-04-26,Golem Madrid
The End (VOSE),,148,02,16:10,2025-04-26,Golem Madrid
The End (VOSE),,148,02,19:00,2025-04-26,Golem Madrid
The End (VOSE),,148,02,21:45,2025-04-26,Golem Madrid
La viajera (VOSE),,90,04,16:15,2025-04-26,Golem Madrid
Muy lejos,,100,04,20:15,2025-04-26,Golem Madrid
Sorda,,99,05,18:15,2025-04-26,Golem Madrid
Muy lejos,,100,04,22:15,2025-04-26,Golem Madrid
La viajera (VOSE),,90,05,22:15,2025-04-26,Golem Madrid
La isla de los faisanes (VOSE),,99,01,20:15,2025-04-26,Golem Madrid
Sorda,,99,03,22:30,2025-04-26,Golem Madrid
The Brutalist (VOSE),,214,03,16:15,2025-04-26,Golem Madrid
Muy lejos,,100,04,18:15,2025-04-26,Golem Madrid
La viajera (VOSE),,90,05,22:15,2025-04-27,Golem Madrid
The End (VOSE),,148,02,16:10,2025-04-27,Golem Madrid
La viajera (VOSE),,90,04,16:15,2025-04-27,Golem Madrid
Muy lejos,,100,04,20:15,2025-04-27,Golem Madrid
The Brutalist (VOSE),,214,03,16:15,2025-04-27,Golem Madrid
La isla de los faisanes (VOSE),,99,01,22:30,2025-04-27,Golem Madrid
The End (VOSE),,148,02,21:45,2025-04-27,Golem Madrid
Sorda,,99,05,16:15,2025-04-27,Golem Madrid
Sorda,,99,03,22:30,2025-04-27,Golem Madrid
La isla de los faisanes (VOSE),,99,01,20:15,2025-04-27,Golem Madrid
La isla de los faisanes (VOSE),,99,01,16:10,2025-04-27,Golem Madrid
La isla de los faisanes (VOSE),,99,01,18:15,2025-04-27,Golem Madrid
Sujo,,126,03,20:10,2025-04-27,Golem Madrid
Muy lejos,,100,04,22:15,2025-04-27,Golem Madrid
La viajera (VOSE),,90,05,20:15,2025-04-27,Golem Madrid
Muy lejos,,100,04,18:15,2025-04-27,Golem Madrid
Sorda,,99,05,18:15,2025-04-27,Golem Madrid
The End (VOSE),,148,02,19:00,2025-04-27,Golem Madrid
The End (VOSE),,148,02,21:45,2025-04-28,Golem Madrid
La isla de los faisanes (VOSE),,99,01,18:15,2025-04-28,Golem Madrid
La viajera (VOSE),,90,04,16:15,2025-04-28,Golem Madrid
Sorda,,99,05,16:15,2025-04-28,Golem Madrid
Muy lejos,,100,04,20:15,2025-04-28,Golem Madrid
The Brutalist (VOSE),,214,03,16:15,2025-04-28,Golem Madrid
Sorda,,99,05,18:15,2025-04-28,Golem Madrid
Muy lejos,,100,04,22:15,2025-04-28,Golem Madrid
La isla de los faisanes (VOSE),,99,01,16:10,2025-04-28,Golem Madrid
La viajera (VOSE),,90,05,22:15,2025-04-28,Golem Madrid
The End (VOSE),,148,02,19:00,2025-04-28,Golem Madrid
Sorda,,99,03,22:30,2025-04-28,Golem Madrid
Muy lejos,,100,04,18:15,2025-04-28,Golem Madrid
Sujo,,126,03,20:10,2025-04-28,Golem Madrid
La isla de los faisanes (VOSE),,99,01,22:30,2025-04-28,Golem Madrid
The End (VOSE),,148,02,16:10,2025-04-28,Golem Madrid
La isla de los faisanes (VOSE),,99,01,20:15,2025-04-28,Golem Madrid
La viajera (VOSE),,90,05,20:15,2025-04-28,Golem Madrid
La isla de los faisanes (VOSE),,99,01,18:15,2025-04-29,Golem Madrid
Sujo,,126,03,20:10,2025-04-29,Golem Madrid
The End (VOSE),,148,02,16:10,2025-04-29,Golem Madrid
The End (VOSE),,148,05,21:45,2025-04-29,Golem Madrid
La isla de los faisanes (VOSE),,99,01,16:10,2025-04-29,Golem Madrid
Sorda,,99,03,22:30,2025-04-29,Golem Madrid
La viajera (VOSE),,90,04,22:15,2025-04-29,Golem Madrid
The Brutalist (VOSE),,214,03,16:15,2025-04-29,Golem Madrid
Muy lejos,,100,04,18:15,2025-04-29,Golem Madrid
La isla de los faisanes (VOSE),,99,01,22:30,2025-04-29,Golem Madrid
Sorda,,99,05,16:15,2025-04-29,Golem Madrid
The End (VOSE),,148,05,19:00,2025-04-29,Golem Madrid
Muy lejos,,100,04,20:15,2025-04-29,Golem Madrid
La isla de los faisanes (VOSE),,99,01,20:15,2025-04-29,Golem Madrid
La viajera (VOSE),,90,04,16:15,2025-04-29,Golem Madrid
