Pelicula,Director,Duración,Sala,Horario,Fecha,Cine
Bagger Drama (VOSE),,94,04,16:10,2025-06-28,Golem Madrid
Volver a ti (VOSE),,96,02,22:15,2025-06-28,Golem Madrid
Juliette en primavera (VOSE),,95,03,20:00,2025-06-28,Golem Madrid
A la deriva (VOSE),,111,01,19:30,2025-06-28,Golem Madrid
La receta perfecta (VOSE),,92,03,18:10,2025-06-28,Golem Madrid
Sirat,,114,05,19:30,2025-06-28,Golem Madrid
Bagger Drama (VOSE),,94,04,22:15,2025-06-28,Golem Madrid
Volver a ti (VOSE),,96,02,16:10,2025-06-28,Golem Madrid
Sirat,,114,05,16:30,2025-06-28,Golem Madrid
Traslados,,90,04,18:10,2025-06-28,Golem Madrid
Juliette en primavera (VOSE),,95,03,16:10,2025-06-28,Golem Madrid
A la deriva (VOSE),,111,01,17:00,2025-06-28,Golem Madrid
La receta perfecta (VOSE),,92,03,22:15,2025-06-28,Golem Madrid
Sirat,,114,05,22:00,2025-06-28,Golem Madrid
Volver a ti (VOSE),,96,02,18:10,2025-06-28,Golem Madrid
Volver a ti (VOSE),,96,02,20:10,2025-06-28,Golem Madrid
Bagger Drama (VOSE),,94,04,20:10,2025-06-28,Golem Madrid
A la deriva (VOSE),,111,01,22:00,2025-06-28,Golem Madrid
Sirat,,114,05,22:00,2025-06-29,Golem Madrid
Bagger Drama (VOSE),,94,04,20:10,2025-06-29,Golem Madrid
Bagger Drama (VOSE),,94,04,22:15,2025-06-29,Golem Madrid
Bagger Drama (VOSE),,94,04,16:10,2025-06-29,Golem Madrid
Juliette en primavera (VOSE),,95,03,20:00,2025-06-29,Golem Madrid
Volver a ti (VOSE),,96,02,22:15,2025-06-29,Golem Madrid
A la deriva (VOSE),,111,01,19:30,2025-06-29,Golem Madrid
La receta perfecta (VOSE),,92,03,18:10,2025-06-29,Golem Madrid
Volver a ti (VOSE),,96,02,16:10,2025-06-29,Golem Madrid
Juliette en primavera (VOSE),,95,03,16:10,2025-06-29,Golem Madrid
La receta perfecta (VOSE),,92,03,22:15,2025-06-29,Golem Madrid
Sirat,,114,05,16:30,2025-06-29,Golem Madrid
Sirat,,114,05,19:30,2025-06-29,Golem Madrid
A la deriva (VOSE),,111,01,22:00,2025-06-29,Golem Madrid
A la deriva (VOSE),,111,01,17:00,2025-06-29,Golem Madrid
Volver a ti (VOSE),,96,02,18:10,2025-06-29,Golem Madrid
Traslados,,90,04,18:10,2025-06-29,Golem Madrid
Volver a ti (VOSE),,96,02,20:10,2025-06-29,Golem Madrid
A la deriva (VOSE),,111,01,19:30,2025-06-30,Golem Madrid
La receta perfecta (VOSE),,92,03,22:15,2025-06-30,Golem Madrid
Sirat,,114,05,22:00,2025-06-30,Golem Madrid
Bagger Drama (VOSE),,94,04,16:10,2025-06-30,Golem Madrid
Juliette en primavera (VOSE),,95,03,20:00,2025-06-30,Golem Madrid
La receta perfecta (VOSE),,92,03,18:10,2025-06-30,Golem Madrid
Volver a ti (VOSE),,96,02,18:10,2025-06-30,Golem Madrid
A la deriva (VOSE),,111,01,17:00,2025-06-30,Golem Madrid
Volver a ti (VOSE),,96,02,20:10,2025-06-30,Golem Madrid
Volver a ti (VOSE),,96,02,22:15,2025-06-30,Golem Madrid
Bagger Drama (VOSE),,94,04,22:15,2025-06-30,Golem Madrid
Sirat,,114,05,16:30,2025-06-30,Golem Madrid
Sirat,,114,05,19:30,2025-06-30,Golem Madrid
Traslados,,90,04,18:10,2025-06-30,Golem Madrid
Bagger Drama (VOSE),,94,04,20:10,2025-06-30,Golem Madrid
A la deriva (VOSE),,111,01,22:00,2025-06-30,Golem Madrid
Juliette en primavera (VOSE),,95,03,16:10,2025-06-30,Golem Madrid
Volver a ti (VOSE),,96,02,16:10,2025-06-30,Golem Madrid
Bagger Drama (VOSE),,94,04,20:10,2025-07-01,Golem Madrid
Sirat,,114,05,22:00,2025-07-01,Golem Madrid
Traslados,,90,04,18:10,2025-07-01,Golem Madrid
A la deriva (VOSE),,111,01,19:30,2025-07-01,Golem Madrid
Volver a ti (VOSE),,96,02,18:10,2025-07-01,Golem Madrid
Bagger Drama (VOSE),,94,04,16:10,2025-07-01,Golem Madrid
Sirat,,114,05,16:30,2025-07-01,Golem Madrid
