Pelicula,Director,Duración,Sala,Horario,Fecha,Cine
A Real Pain (VOSE),,89,04,22:30,2025-01-20,Golem Madrid
Emilia Pérez,,132,01,19:00,2025-01-20,Golem Madrid
A Real Pain (VOSE),,89,05,18:30,2025-01-20,Golem Madrid
Emilia Pérez,,132,01,21:45,2025-01-20,Golem Madrid
La semilla de la higuera sagrada (VOSE),,166,05,20:30,2025-01-20,Golem Madrid
La luz que imaginamos (VOSE),,117,04,16:30,2025-01-20,Golem Madrid
La luz que imaginamos (VOSE),,117,02,22:00,2025-01-20,Golem Madrid
Anora (VOSE),,139,03,19:00,2025-01-20,Golem Madrid
Las vidas de Sing Sing (VOSE),,107,03,21:45,2025-01-20,Golem Madrid
Cónclave (VOSE),,120,01,16:30,2025-01-20,Golem Madrid
La semilla de la higuera sagrada (VOSE),,166,04,19:00,2025-01-20,Golem Madrid
La luz que imaginamos (VOSE),,117,02,19:30,2025-01-20,Golem Madrid
A Real Pain (VOSE),,89,04,22:30,2025-01-21,Golem Madrid
Las vidas de Sing Sing (VOSE),,107,03,21:45,2025-01-21,Golem Madrid
La luz que imaginamos (VOSE),,117,02,19:30,2025-01-21,Golem Madrid
Cónclave (VOSE),,120,01,16:30,2025-01-21,Golem Madrid
Emilia Pérez,,132,01,19:00,2025-01-21,Golem Madrid
Emilia Pérez,,132,01,21:45,2025-01-21,Golem Madrid
La luz que imaginamos (VOSE),,117,04,16:30,2025-01-21,Golem Madrid
La luz que imaginamos (VOSE),,117,02,22:00,2025-01-21,Golem Madrid
Anora (VOSE),,139,03,19:00,2025-01-21,Golem Madrid
Las vidas de Sing Sing (VOSE),,107,05,16:15,2025-01-21,Golem Madrid
Parthenope (VOSE),,137,03,16:15,2025-01-21,Golem Madrid
A Real Pain (VOSE),,89,05,18:30,2025-01-21,Golem Madrid
La semilla de la higuera sagrada (VOSE),,166,05,20:30,2025-01-21,Golem Madrid
La semilla de la higuera sagrada (VOSE),,166,02,16:15,2025-01-21,Golem Madrid
La semilla de la higuera sagrada (VOSE),,166,04,19:00,2025-01-21,Golem Madrid
La semilla de la higuera sagrada (VOSE),,166,04,19:00,2025-01-22,Golem Madrid
A Real Pain (VOSE),,89,05,18:30,2025-01-22,Golem Madrid
La luz que imaginamos (VOSE),,117,04,16:30,2025-01-22,Golem Madrid
Las vidas de Sing Sing (VOSE),,107,03,21:45,2025-01-22,Golem Madrid
La luz que imaginamos (VOSE),,117,02,19:30,2025-01-22,Golem Madrid
Anora (VOSE),,139,03,19:00,2025-01-22,Golem Madrid
A Real Pain (VOSE),,89,04,22:30,2025-01-22,Golem Madrid
Las vidas de Sing Sing (VOSE),,107,05,16:15,2025-01-22,Golem Madrid
La semilla de la higuera sagrada (VOSE),,166,02,16:15,2025-01-22,Golem Madrid
Emilia Pérez,,132,01,21:45,2025-01-22,Golem Madrid
La luz que imaginamos (VOSE),,117,02,22:00,2025-01-22,Golem Madrid
Cónclave (VOSE),,120,01,16:30,2025-01-22,Golem Madrid
Emilia Pérez,,132,01,19:00,2025-01-22,Golem Madrid
Parthenope (VOSE),,137,03,16:15,2025-01-22,Golem Madrid
La semilla de la higuera sagrada (VOSE),,166,05,20:30,2025-01-22,Golem Madrid
A Real Pain (VOSE),,89,04,22:30,2025-01-23,Golem Madrid
La semilla de la higuera sagrada (VOSE),,166,05,20:30,2025-01-23,Golem Madrid
Emilia Pérez,,132,01,21:45,2025-01-23,Golem Madrid
Cónclave (VOSE),,120,01,16:30,2025-01-23,Golem Madrid
Emilia Pérez,,132,01,19:00,2025-01-23,Golem Madrid
La semilla de la higuera sagrada (VOSE),,166,04,19:00,2025-01-23,Golem Madrid
Las vidas de Sing Sing (VOSE),,107,03,21:45,2025-01-23,Golem Madrid
Las vidas de Sing Sing (VOSE),,107,05,16:15,2025-01-23,Golem Madrid
La luz que imaginamos (VOSE),,117,02,22:00,2025-01-23,Golem Madrid
La semilla de la higuera sagrada (VOSE),,166,02,16:15,2025-01-23,Golem Madrid
La luz que imaginamos (VOSE),,117,02,19:30,2025-01-23,Golem Madrid
Parthenope (VOSE),,137,03,16:15,2025-01-23,Golem Madrid
A Real Pain (VOSE),,89,05,18:30,2025-01-23,Golem Madrid
Anora (VOSE),,139,03,19:00,2025-01-23,Golem Madrid
La luz que imaginamos (VOSE),,117,04,16:30,2025-01-23,Golem Madrid
