Pelicula,Director,Duración,Sala,Horario,Fecha,Cine
Emilia Pérez,,132,04,19:00,2025-02-02,Golem Madrid
La semilla de la higuera sagrada (VOSE),,166,01,16:10,2025-02-02,Golem Madrid
Las vidas de Sing Sing (VOSE),,107,05,16:10,2025-02-02,Golem Madrid
The Brutalist (VOSE),,214,02,20:30,2025-02-02,Golem Madrid
Las vidas de Sing Sing (VOSE),,107,01,22:15,2025-02-02,Golem Madrid
La semilla de la higuera sagrada (VOSE),,166,01,19:15,2025-02-02,Golem Madrid
La luz que imaginamos (VOSE),,117,03,21:45,2025-02-02,Golem Madrid
A Real Pain (VOSE),,89,05,22:30,2025-02-02,Golem Madrid
Anora (VOSE),,139,03,19:00,2025-02-02,Golem Madrid
A Real Pain (VOSE),,89,03,17:00,2025-02-02,Golem Madrid
The Brutalist (VOSE),,214,05,18:15,2025-02-02,Golem Madrid
Cónclave (VOSE),,120,04,16:30,2025-02-02,Golem Madrid
Emilia Pérez,,132,04,21:45,2025-02-02,Golem Madrid
The Brutalist (VOSE),,214,02,16:30,2025-02-02,Golem Madrid
Emilia Pérez,,132,04,21:45,2025-02-03,Golem Madrid
Las vidas de Sing Sing (VOSE),,107,05,16:10,2025-02-03,Golem Madrid
A Real Pain (VOSE),,89,03,17:00,2025-02-03,Golem Madrid
Cónclave (VOSE),,120,04,16:30,2025-02-03,Golem Madrid
The Brutalist (VOSE),,214,02,20:30,2025-02-03,Golem Madrid
La semilla de la higuera sagrada (VOSE),,166,01,16:10,2025-02-03,Golem Madrid
Las vidas de Sing Sing (VOSE),,107,01,22:15,2025-02-03,Golem Madrid
Emilia Pérez,,132,04,19:00,2025-02-03,Golem Madrid
Anora (VOSE),,139,03,19:00,2025-02-03,Golem Madrid
La luz que imaginamos (VOSE),,117,03,21:45,2025-02-03,Golem Madrid
The Brutalist (VOSE),,214,05,18:15,2025-02-03,Golem Madrid
A Real Pain (VOSE),,89,05,22:30,2025-02-03,Golem Madrid
The Brutalist (VOSE),,214,02,16:30,2025-02-03,Golem Madrid
La semilla de la higuera sagrada (VOSE),,166,01,19:15,2025-02-03,Golem Madrid
The Brutalist (VOSE),,214,02,20:30,2025-02-04,Golem Madrid
A Real Pain (VOSE),,89,03,17:00,2025-02-04,Golem Madrid
Las vidas de Sing Sing (VOSE),,107,05,16:10,2025-02-04,Golem Madrid
La semilla de la higuera sagrada (VOSE),,166,01,19:15,2025-02-04,Golem Madrid
The Brutalist (VOSE),,214,05,18:15,2025-02-04,Golem Madrid
Emilia Pérez,,132,04,19:00,2025-02-04,Golem Madrid
Emilia Pérez,,132,04,21:45,2025-02-04,Golem Madrid
Las vidas de Sing Sing (VOSE),,107,01,22:15,2025-02-04,Golem Madrid
La luz que imaginamos (VOSE),,117,03,21:45,2025-02-04,Golem Madrid
Cónclave (VOSE),,120,04,16:30,2025-02-04,Golem Madrid
A Real Pain (VOSE),,89,05,22:30,2025-02-04,Golem Madrid
The Brutalist (VOSE),,214,02,16:30,2025-02-04,Golem Madrid
Anora (VOSE),,139,03,19:00,2025-02-04,Golem Madrid
La semilla de la higuera sagrada (VOSE),,166,01,16:10,2025-02-04,Golem Madrid
The Brutalist (VOSE),,214,05,18:15,2025-02-05,Golem Madrid
The Brutalist (VOSE),,214,04,20:30,2025-02-05,Golem Madrid
Las vidas de Sing Sing (VOSE),,107,05,16:10,2025-02-06,Golem Madrid
Cónclave (VOSE),,120,04,16:30,2025-02-06,Golem Madrid
The Brutalist (VOSE),,214,02,16:30,2025-02-06,Golem Madrid
La semilla de la higuera sagrada (VOSE),,166,01,16:10,2025-02-06,Golem Madrid
The Brutalist (VOSE),,214,02,20:30,2025-02-06,Golem Madrid
La semilla de la higuera sagrada (VOSE),,166,01,19:15,2025-02-06,Golem Madrid
Emilia Pérez,,132,04,21:45,2025-02-06,Golem Madrid
The Brutalist (VOSE),,214,05,18:15,2025-02-06,Golem Madrid
A Real Pain (VOSE),,89,03,17:00,2025-02-06,Golem Madrid
Las vidas de Sing Sing (VOSE),,107,01,22:15,2025-02-06,Golem Madrid
La luz que imaginamos (VOSE),,117,03,21:45,2025-02-06,Golem Madrid
Anora (VOSE),,139,03,19:00,2025-02-06,Golem Madrid
A Real Pain (VOSE),,89,05,22:30,2025-02-06,Golem Madrid
Emilia Pérez,,132,04,19:00,2025-02-06,Golem Madrid
