Pelicula,Director,Duración,Sala,Horario,Fecha,Cine
La luz que imaginamos (VOSE),,117,03,21:45,2025-01-25,Golem Madrid
A Real Pain (VOSE),,89,05,22:30,2025-01-25,Golem Madrid
Parthenope (VOSE),,137,01,21:45,2025-01-25,Golem Madrid
The Brutalist (VOSE),,214,02,20:30,2025-01-25,Golem Madrid
Las vidas de Sing Sing (VOSE),,107,04,22:15,2025-01-25,Golem Madrid
La luz que imaginamos (VOSE),,117,05,20:15,2025-01-25,Golem Madrid
Parthenope (VOSE),,137,01,21:45,2025-01-26,Golem Madrid
Las vidas de Sing Sing (VOSE),,107,05,16:10,2025-01-26,Golem Madrid
La luz que imaginamos (VOSE),,117,05,20:15,2025-01-26,Golem Madrid
Itoiz udako sesioak (ESP),,102,03,17:00,2025-01-26,Golem Madrid
The Brutalist (VOSE),,214,02,16:30,2025-01-26,Golem Madrid
La luz que imaginamos (VOSE),,117,03,21:45,2025-01-26,Golem Madrid
Cónclave (VOSE),,120,01,16:30,2025-01-26,Golem Madrid
A Real Pain (VOSE),,89,05,22:30,2025-01-26,Golem Madrid
La semilla de la higuera sagrada (VOSE),,166,04,16:10,2025-01-26,Golem Madrid
Las vidas de Sing Sing (VOSE),,107,04,22:15,2025-01-26,Golem Madrid
A Real Pain (VOSE),,89,05,18:15,2025-01-26,Golem Madrid
Anora (VOSE),,139,03,19:00,2025-01-26,Golem Madrid
Emilia Pérez,,132,01,19:00,2025-01-26,Golem Madrid
La semilla de la higuera sagrada (VOSE),,166,04,19:15,2025-01-26,Golem Madrid
The Brutalist (VOSE),,214,02,20:30,2025-01-26,Golem Madrid
La semilla de la higuera sagrada (VOSE),,166,04,19:15,2025-01-27,Golem Madrid
The Brutalist (VOSE),,214,02,20:30,2025-01-27,Golem Madrid
Itoiz udako sesioak (ESP),,102,03,17:00,2025-01-27,Golem Madrid
La semilla de la higuera sagrada (VOSE),,166,04,16:10,2025-01-27,Golem Madrid
A Real Pain (VOSE),,89,05,18:15,2025-01-27,Golem Madrid
A Real Pain (VOSE),,89,05,22:30,2025-01-27,Golem Madrid
La luz que imaginamos (VOSE),,117,05,20:15,2025-01-27,Golem Madrid
Parthenope (VOSE),,137,01,21:45,2025-01-27,Golem Madrid
Las vidas de Sing Sing (VOSE),,107,05,16:10,2025-01-27,Golem Madrid
Anora (VOSE),,139,03,19:00,2025-01-27,Golem Madrid
Cónclave (VOSE),,120,01,16:30,2025-01-27,Golem Madrid
La luz que imaginamos (VOSE),,117,03,21:45,2025-01-27,Golem Madrid
Emilia Pérez,,132,01,19:00,2025-01-27,Golem Madrid
The Brutalist (VOSE),,214,02,16:30,2025-01-27,Golem Madrid
Las vidas de Sing Sing (VOSE),,107,04,22:15,2025-01-27,Golem Madrid
Las vidas de Sing Sing (VOSE),,107,05,16:10,2025-01-28,Golem Madrid
