Pelicula,Director,Duración,Sala,Horario,Fecha,Cine
Bugonia (VOSE),,,04,22:00,2025-11-23,Golem Madrid
Una batalla tras otra (VOSE),,,03,20:15,2025-11-23,Golem Madrid
Reina Madre (VOSE),,,03,18:10,2025-11-23,Golem Madrid
QueerCineMad: Perro Perro,,,02,22:00,2025-11-23,Golem Madrid
Los Domingos,,,05,19:30,2025-11-23,Golem Madrid
Sueños en Oslo (VOSE),,,01,22:00,2025-11-23,Golem Madrid
QueerCineMad: Apenas Coisas Boas (VOSE),,,02,20:00,2025-11-23,Golem Madrid
Los Domingos,,,05,22:00,2025-11-23,Golem Madrid
Sueños en Oslo (VOSE),,,01,19:30,2025-11-23,Golem Madrid
Siempre es invierno,,,04,19:30,2025-11-23,Golem Madrid
Los Domingos,,,05,19:30,2025-11-24,Golem Madrid
Bugonia (VOSE),,,04,22:00,2025-11-24,Golem Madrid
Siempre es invierno,,,04,19:30,2025-11-24,Golem Madrid
Siempre es invierno,,,04,17:00,2025-11-24,Golem Madrid
Los Domingos,,,05,16:30,2025-11-24,Golem Madrid
Los Domingos,,,05,22:00,2025-11-24,Golem Madrid
Reina Madre (VOSE),,,03,16:10,2025-11-24,Golem Madrid
Sueños en Oslo (VOSE),,,01,16:30,2025-11-24,Golem Madrid
Una batalla tras otra (VOSE),,,03,20:15,2025-11-24,Golem Madrid
Sueños en Oslo (VOSE),,,02,19:30,2025-11-24,Golem Madrid
Bugonia (VOSE),,,02,16:30,2025-11-24,Golem Madrid
Reina Madre (VOSE),,,03,18:10,2025-11-24,Golem Madrid
Sueños en Oslo (VOSE),,,02,22:00,2025-11-24,Golem Madrid
Sueños en Oslo (VOSE),,,01,22:00,2025-11-25,Golem Madrid
Los Domingos,,,05,16:30,2025-11-25,Golem Madrid
Reina Madre (VOSE),,,03,18:10,2025-11-25,Golem Madrid
Reina Madre (VOSE),,,03,16:10,2025-11-25,Golem Madrid
Siempre es invierno,,,04,19:30,2025-11-25,Golem Madrid
Los Domingos,,,05,22:00,2025-11-25,Golem Madrid
Siempre es invierno,,,04,17:00,2025-11-25,Golem Madrid
Sueños en Oslo (VOSE),,,01,19:30,2025-11-25,Golem Madrid
Bugonia (VOSE),,,04,22:00,2025-11-25,Golem Madrid
Sueños en Oslo (VOSE),,,01,16:30,2025-11-25,Golem Madrid
Los Domingos,,,05,19:30,2025-11-25,Golem Madrid
Bugonia (VOSE),,,02,16:30,2025-11-25,Golem Madrid
Una batalla tras otra (VOSE),,,03,20:15,2025-11-25,Golem Madrid
Sueños en Oslo (VOSE),,,01,19:30,2025-11-26,Golem Madrid
Siempre es invierno,,,04,19:30,2025-11-26,Golem Madrid
Una batalla tras otra (VOSE),,,03,20:15,2025-11-26,Golem Madrid
Sueños en Oslo (VOSE),,,01,22:00,2025-11-26,Golem Madrid
Bugonia (VOSE),,,04,22:00,2025-11-26,Golem Madrid
Siempre es invierno,,,04,17:00,2025-11-26,Golem Madrid
Los Domingos,,,05,22:00,2025-11-26,Golem Madrid
Reina Madre (VOSE),,,03,18:10,2025-11-26,Golem Madrid
Sueños en Oslo (VOSE),,,01,16:30,2025-11-26,Golem Madrid
Los Domingos,,,05,16:30,2025-11-26,Golem Madrid
Bugonia (VOSE),,,02,16:30,2025-11-26,Golem Madrid
Los Domingos,,,05,19:30,2025-11-26,Golem Madrid
Reina Madre (VOSE),,,03,16:10,2025-11-26,Golem Madrid
Sueños en Oslo (VOSE),,,01,19:30,2025-11-27,Golem Madrid
Los Domingos,,,05,19:30,2025-11-27,Golem Madrid
Bugonia (VOSE),,,04,22:00,2025-11-27,Golem Madrid
Siempre es invierno,,,04,17:00,2025-11-27,Golem Madrid
Una batalla tras otra (VOSE),,,03,20:15,2025-11-27,Golem Madrid
Reina Madre (VOSE),,,03,16:10,2025-11-27,Golem Madrid
Bugonia (VOSE),,,02,16:30,2025-11-27,Golem Madrid
Los Domingos,,,05,22:00,2025-11-27,Golem Madrid
Los Domingos,,,05,16:30,2025-11-27,Golem Madrid
Sueños en Oslo (VOSE),,,01,22:00,2025-11-27,Golem Madrid
Siempre es invierno,,,04,19:30,2025-11-27,Golem Madrid
Reina Madre (VOSE),,,03,18:10,2025-11-27,Golem Madrid
Sueños en Oslo (VOSE),,,01,16:30,2025-11-27,Golem Madrid
