Pelicula,Sala,Horario,Fecha,Cine,Pelicula_URL,Titulo_Original,Director,Duración,Nacionalidad,Reparto,Sinopsis,Trailer_URL,Poster_URL
"Sorry, Baby (VOSE)",02,20:20,2026-02-27,Golem Madrid,,,,,,,,,
El agente secreto (VOSE),05,17:00,2026-02-27,Golem Madrid,https://golem.es/golem/pelicula/El-agente-secreto-(V.O.S.E.),O Agente Secreto,Kleber Mendonça Filho,161 min.,"Francia, Brasi","Wagner Moura, Maria Fernanda Cândido, Gabriel Leone, Carlos Francisco, Alice Carvalho","Un profesor universitario viaja desde São Paulo a la ciudad costera de Recife durante la semana de Carnaval con la esperanza de reencontrarse con su hijo. Pronto descubre que es seguido y vigilado por los vecinos de su nuevo refugio, sin escapatoria de las garras de la corrupción.",https://www.youtube.com/embed/eEIpEQ7eAV0?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1770807418-12879.jpg
"Sorry, Baby (VOSE)",02,18:15,2026-02-27,Golem Madrid,,,,,,,,,
Little Amélie (VOSE),01,16:15,2026-02-27,Golem Madrid,https://golem.es/golem/pelicula/Little-Amelie-(V.O.S.E.),,,,,,,,
Manas (VOSE),03,16:30,2026-02-27,Golem Madrid,https://golem.es/golem/pelicula/Manas-(V.O.S.E.),Manas,Marianna Brennand,106 min.,BRASIL,"Jamilli Correa, Fátima Macedo, Rômulo Braga, Dira Paes, Enzo Maia, Fátima Macedo, Samira Eloá","Marcielle, una joven de 13 años que vive en la Isla de Marajó (PA), empieza a comprender que el futuro no le ofrece muchas opciones. Atrapada por la resignación de su madre e impulsada por la idealización de la hermana que se fue, decide enfrentarse al engranaje violento que rige su familia y a las mujeres de su comunidad.",https://www.youtube.com/embed/AyoRwWCC7nc?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1771341095.jpg
"Sorry, Baby (VOSE)",02,16:10,2026-02-27,Golem Madrid,,,,,,,,,
Little Amélie (VOSE),01,18:00,2026-02-27,Golem Madrid,https://golem.es/golem/pelicula/Little-Amelie-(V.O.S.E.),,,,,,,,
Tres adioses (VOSE),04,21:30,2026-02-27,Golem Madrid,https://golem.es/golem/pelicula/Tres-adioses-(V.O.S.E.),Tre Ciotole,Isabel Coixet,122 min.,"Italia, EspaÃ±a","Alba Rohrwacher, Elio Germano, Francesco Carril, Silvia D’Amico, Galatea Bellugi y Sarita Choudhury","Tras lo que parecía una discusión sin importancia, Marta (Alba Rohrwacher) y Antonio (Elio Germano) se separan. Él, un chef prometedor, se refugia en sus fogones; ella, en su silencio, empieza a notar algo más que tristeza: ha perdido el apetito… y no solo por desamor. Cuando descubre que detrás hay un problema de salud, todo da un giro inesperado: la comida sabe mejor, la música le llega como nunca y el deseo despierta sus ganas de vivir sin miedo. Una historia sobre el amor, la vida y esos momentos que lo cambian todo para siempre.",https://www.youtube.com/embed/1zF6VtizXpU?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/January/hd-1767806452.jpg
Hamnet (VOSE),01,21:45,2026-02-27,Golem Madrid,https://golem.es/golem/pelicula/Hamnet-(V.O.S.E.),Hamnet,Chloé Zhao,125 min.,USA,"Jessie Buckley, Paul Mescal, Emily Watson, Joe Alwyn, Jacobi Jupe, Sam Woolf","HAMNET, de la oscarizada directora y guionista Chloé Zhao, nos descubre la poderosa historia de amor y pérdida que inspiró la creación de Hamlet, la intemporal obra maestra de Shakespeare.",https://www.youtube.com/embed/2cSoi8W3btM?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/January/hd-1769672324-12844.jpg
Manas (VOSE),01,19:30,2026-02-27,Golem Madrid,https://golem.es/golem/pelicula/Manas-(V.O.S.E.),Manas,Marianna Brennand,106 min.,BRASIL,"Jamilli Correa, Fátima Macedo, Rômulo Braga, Dira Paes, Enzo Maia, Fátima Macedo, Samira Eloá","Marcielle, una joven de 13 años que vive en la Isla de Marajó (PA), empieza a comprender que el futuro no le ofrece muchas opciones. Atrapada por la resignación de su madre e impulsada por la idealización de la hermana que se fue, decide enfrentarse al engranaje violento que rige su familia y a las mujeres de su comunidad.",https://www.youtube.com/embed/AyoRwWCC7nc?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1771341095.jpg
Hasta la montaña (VOSE),04,19:00,2026-02-27,Golem Madrid,https://golem.es/golem/pelicula/Hasta-la-montana-(V.O.S.E.),,,,,,,,
Tres adioses (VOSE),04,16:30,2026-02-27,Golem Madrid,https://golem.es/golem/pelicula/Tres-adioses-(V.O.S.E.),Tre Ciotole,Isabel Coixet,122 min.,"Italia, EspaÃ±a","Alba Rohrwacher, Elio Germano, Francesco Carril, Silvia D’Amico, Galatea Bellugi y Sarita Choudhury","Tras lo que parecía una discusión sin importancia, Marta (Alba Rohrwacher) y Antonio (Elio Germano) se separan. Él, un chef prometedor, se refugia en sus fogones; ella, en su silencio, empieza a notar algo más que tristeza: ha perdido el apetito… y no solo por desamor. Cuando descubre que detrás hay un problema de salud, todo da un giro inesperado: la comida sabe mejor, la música le llega como nunca y el deseo despierta sus ganas de vivir sin miedo. Una historia sobre el amor, la vida y esos momentos que lo cambian todo para siempre.",https://www.youtube.com/embed/1zF6VtizXpU?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/January/hd-1767806452.jpg
